,Source URL,Sentence (or small snippets of text),"Logical Fallacy Types
Key separators: "" & "" to connect multiple logical fallacies, 
"" > "" to connect hierarchies of logical fallacy types, and 
"" / "" to connect synonyms of each other",Explanations,Exception,Logical Form,Definition,Tips,Other_name
10,https://www.logicallyfallacious.com/logicalfallacies/Ad-Hominem-Circumstantial,"Salesman: This car gets better than average gas mileage and is one of the most reliable cars according to Consumer Reports.
Will: I doubt it—you obviously just want to sell me that car.
",Ad Hominem (Circumstantial)," The fact that the salesman has a vested interest in selling Will the car does not mean that he is lying.  He may be, but this is not something you can conclude solely on his interests.  It is reasonable to assume that salespeople sell the products and services they do because they believe in them."," As the bias or conflict of interest becomes more relevant to the argument, usually signified by a lack of other evidence, the argument is seen as less of a fallacy and more as a legitimate motive.  For example, courtesy of Meat Loaf...","Person 1 is claiming Y.
Person 1 has a vested interest in Y being true.
Therefore, Y is false."," Suggesting that the person who is making the argument is biased or predisposed to take a particular stance, and therefore, the argument is necessarily invalid.",," appeal to bias, appeal to motive, appeal to personal interest, argument from motives, conflict of interest, faulty motives, naïve cynicism, questioning motives, vested interest)"
11,https://www.logicallyfallacious.com/logicalfallacies/Ad-Hominem-Circumstantial,"Of course, your minister says he believes in God.  He would be unemployed otherwise.",Ad Hominem (Circumstantial)," The fact that atheist ministers are about as in demand as hookers who, “just want to be friends”, does not mean that ministers believe in God just because they need a job.",,,,,
12,https://www.logicallyfallacious.com/logicalfallacies/Ad-Hominem-Guilt-by-Association,Delores is a big supporter for equal pay for equal work.  This is the same policy that all those extreme feminist groups support.  Extremists like Delores should not be taken seriously -- at least politically.,Ad Hominem (Guilt by Association)," Making the assumption that Delores is an extreme feminist simply because she supports a policy that virtually every man and woman also supports, is fallacious."," If one can demonstrate that the connection between the two characteristics that were inherited by association is causally linked, or the probability of taking on a characteristic would be high, then it would be valid. In example #1, if Delores supported the “all men should be castrated” position, we can call her an “extremist.” In example #2, if we used “murdered children” instead of “against religion,” the claim of being a “very bad man” would be justified. In example #3, if Jake appeared on the podcast titled “I am racist, and you should be too,” Callie’s claim of Jake being a racist would be justified.","Person 1 states that Y is true.
Person 2 also states that Y is true, and person 2 is a moron.
Therefore, person 1 must be a moron too.", When the source is viewed negatively because of its association with another person or group who is already viewed negatively.,,"  association fallacy, bad company fallacy, company that you keep fallacy, they’re not like us fallacy, transfer fallacy)"
13,https://www.logicallyfallacious.com/logicalfallacies/Ad-Hominem-Guilt-by-Association,"Pol Pot, the Cambodian Maoist revolutionary, was against religion, and he was a very bad man.  Frankie is against religion; therefore, Frankie also must be a very bad man.",Ad Hominem (Guilt by Association)," The fact that Pol Pot and Frankie share one particular view does not mean they are identical in other ways unrelated, specifically, being a very bad man.  Pol Pot was not a bad man because he was against religion, he was a bad man for his genocidal actions.",,,,,
14,https://www.logicallyfallacious.com/logicalfallacies/Ad-Hominem-Guilt-by-Association,"Callie: Did you know that Jake Tooten was a racist?
Chris: I know Jake well. Why do you say he’s a racist?
Callie: He was on a podcast the other day...
Chris: Did he say something racist?
Callie: No, but the podcast host did an interview two years ago with a woman who said she supported an organization that had a history of racism back in the 1960s. Jake clearly supports racism!
",Ad Hominem (Guilt by Association)," In this case, Jake Tooten is the “source” who is viewed negatively (as a racist) because of his association with the organization referenced. Note that his “association” with this group says nothing about his beliefs, which makes this fallacious. It is even more fallacious due to 1) Jake being several steps removed from this organization and 2) the organization’s history of racism rather than the organization’s current position on racism.
Callie actually was right, but for the wrong reason. Jake runs a Nazi youth group.",,,,,
15,https://www.logicallyfallacious.com/logicalfallacies/Ad-Hominem-Tu-quoque,"Helga: You should not be eating that... it has been scientifically proven that eating fat burgers are no good for your health.
Hugh: You eat fat burgers all the time so that can’t be true.
",Ad Hominem (Tu quoque)," It doesn’t matter (to the truth claim of the argument at least) if Helga follows her own advice or not.  While it might appear that the reason she does not follow her own advice is that she doesn’t believe it’s true, it could also be that those fat burgers are just too damn irresistible."," If Jimbo insisted that his actions were in line with sexual morality, then it would be a very germane part of the argument.","Person 1 is claiming that Y is true, but person 1 is acting as if Y is not true.
Therefore, Y must not be true.", Claiming the argument is flawed by pointing out that the one making the argument is not acting consistently with the claims of the argument.,,"  appeal to hypocrisy, “you too” fallacy, hypocrisy, personal inconsistency)"
16,https://www.logicallyfallacious.com/logicalfallacies/Ad-Hominem-Tu-quoque,"Jimmy Swaggart argued strongly against sexual immorality, yet while married, he has had several affairs with prostitutes; therefore, sexual immorality is acceptable.",Ad Hominem (Tu quoque)," The fact Jimmy Swaggart likes to play a round of bedroom golf with some local entrepreneurial ladies, is not evidence for sexual immorality in general, only that he is sexually immoral.",,,,,
17,https://www.logicallyfallacious.com/logicalfallacies/Affirmative-Conclusion-from-a-Negative-Premise,"No people under the age of 66 are senior citizens.
No senior citizens are children.
Therefore, all people under the age of 66 are children.",Affirmative Conclusion from a Negative Premise," In this case, the conclusion is obviously counterfactual although both premises are true.  Why?  Because this is a categorical syllogism where we have one or more negative premises (i.e., “no people...” and “no senior citizens...”), and we are attempting to draw a positive (affirmative) conclusion (i.e., “all people...”). ", No exceptions as this is a formal fallacy.,Any form of categorical syllogism with an affirmative conclusion and at least one negative premise.," The conclusion of a standard form categorical syllogism is affirmative, but at least one of the premises is negative. Any valid forms of categorical syllogisms that assert a negative premise must have a negative conclusion.",," illicit negative, drawing an affirmative conclusion from negative premises, fallacy of negative premises)
This is our first fallacy in formal logic out of about a dozen presented in this book.  Formal fallacies can be confusing and complex and are not as common in everyday situations, so please don’t feel lost when reading through the formal fallacies—do your best to understand them as I do my best to make them understandable."
18,https://www.logicallyfallacious.com/logicalfallacies/Affirmative-Conclusion-from-a-Negative-Premise,"No donkeys are fish.
Some asses are donkeys.
Therefore, some asses are fish.",Affirmative Conclusion from a Negative Premise," This is a categorical syllogism where we have a single negative premise (i.e., “no donkeys”), and we are attempting to draw a positive (affirmative) conclusion (i.e., “some asses”).
On a somewhat related note, some lawyers are asses.",,,,,
19,https://www.logicallyfallacious.com/logicalfallacies/Affirming-a-Disjunct,"I can’t stop eating these chocolates.  I really love chocolate, or I seriously lack willpower.  I know I really love chocolate; therefore, I cannot lack willpower.",Affirming a Disjunct," Ignoring the possible false dilemma, the fact that one really loves chocolate does not automatically exclude the other possibility of lacking willpower."," If the choices are mutually exclusive (either by necessity or indicated by the word ""either""), then it can be deduced that the other choice must be false.  Again, we are working under the assumption that one of the choices we are given represents the truth.
Today is either Monday or Sunday.  It is Monday.  Therefore, it is not Sunday.
In formal logic, the above is referred to as a valid disjunctive syllogism.
If you are thinking, “But it can be both Monday and Sunday if we are talking about two different time zones,” then give your self three points for being clever, then subtract four points for missing the whole point of the fallacy.",," Making the false assumption that when presented with an either/or possibility, that if one of the options is true that the other one must be false.  This is when the “or” is not explicitly defined as being exclusive.
This fallacy is similar to the unwarranted contrast fallacy.",," the fallacy of the alternative disjunct, false exclusionary disjunct, affirming one disjunct, the fallacy of the alternative syllogism, asserting an alternative, improper disjunctive syllogism, fallacy of the disjunctive syllogism)"
20,https://www.logicallyfallacious.com/logicalfallacies/Affirming-a-Disjunct,"I am going to bed or watching TV.  I am exhausted, so I will go to bed; therefore, I cannot watch TV.",Affirming a Disjunct," It is logically and physically possible to go to bed and watch TV at the same time, I know that for a fact as I do it just about every night.  The “or” does not logically exclude the option that is not chosen.",,,,,
21,https://www.logicallyfallacious.com/logicalfallacies/Affirming-the-Consequent,"If taxes are lowered, I will have more money to spend.
I have more money to spend.
Therefore, taxes must have been lowered.",Affirming the Consequent," I could have had more money to spend simply because I gave up crack-cocaine, prostitute solicitation, and baby-seal-clubbing expeditions.", None.,"If P then Q.
Q.
Therefore, P."," An error in formal logic where if the consequent is said to be true, the antecedent is said to be true, as a result.",," converse error, fallacy of the consequent, asserting the consequent, affirmation of the consequent)"
22,https://www.logicallyfallacious.com/logicalfallacies/Affirming-the-Consequent,"If it’s brown, flush it down.
I flushed it down.
Therefore, it was brown.",Affirming the Consequent," No!  I did not have to follow the, “if it’s yellow, let it mellow” rule -- in fact, if I did follow that rule I would probably still be single.  The stated rule is simply, “if it’s brown” (the antecedent), then (implied), “flush it down” (the consequent).  From this, we cannot imply that we can ONLY flush it down if it is brown.  That is a mistake -- a logical fallacy.",,,,,
23,https://www.logicallyfallacious.com/logicalfallacies/Alleged-Certainty,People everywhere recognize the need to help the starving children of the world.,Alleged Certainty," Actually, people everywhere don’t recognize this.  This may seem like common sense to those who make the claim, and to many who hear the claim, but there are many people on this earth who do not share that view and need to be convinced first."," Facts that would seem foolish not to assume, can be assumed -- but one should be prepared to support the assumption, no matter how certain one may be.
We all know that, without water, we cannot survive.","Everybody knows that X is true.
Therefore, X is true."," Asserting a conclusion without evidence or premises, through a statement that makes the conclusion appear certain when, in fact, it is not.",, assuming the conclusion)
24,https://www.logicallyfallacious.com/logicalfallacies/Alleged-Certainty,"Everyone knows that, without our culture's religion, we all would be like lost sheep.",Alleged Certainty," Everyone does not know that.  Sometimes, without stepping outside your own social or cultural sphere, it might seem like what you might accept as universal truths are simply truths within your own social or cultural sphere.  Don’t assume universal truths.",,,,,
25,https://www.logicallyfallacious.com/logicalfallacies/Alleged-Certainty,There’s no question that our president is a major idiot.,Alleged Certainty," As tempting as a claim such as this one might be for some to accept as true, it must be recognized as the fallacy it is. Simply saying “our president is a major idiot,” then supporting that claim with evidence is very different than replacing the evidence with the statement of certainty (i.e., “there’s no question that...”).",,,,,
26,https://www.logicallyfallacious.com/logicalfallacies/Alphabet-Soup,"In programming CGI, a WYSIWYG interface doesn't handle PHP or CSS very well. If you sign up for my personal consulting, I will show you how to program effectively.",Alphabet Soup," Simply overusing acronyms is not the problem here; it's the deliberate overuse for the purpose of making people think the speaker is very knowledgeable in this area, or perhaps to use terms the audience is unaware of, making the audience think they need the consulting service more than they thought they did."," ""Excessive"" is subjective. Acronyms and abbreviations are perfectly acceptable in many situations.","Person 1 uses acronyms and abbreviations.
Therefore, person 1 knows what he or she is talking about.", The deliberate and excessive use of acronyms and abbreviations to appear more knowledgeable in the subject or confuse others.,,
27,https://www.logicallyfallacious.com/logicalfallacies/Alphabet-Soup,"Am I good at public speaking? Let's see. I have a CC, AC-B, AC-S, AC-G, CL, AL-B, AL-S, and a DTM. What do you think?",Alphabet Soup," These are all designations from Toastmasters International. In fact, many of them have more to do with leadership than speaking, but the average audience member would never know that. Besides, getting all these awards just means the person did the work needed, not that they are necessarily good at public speaking—kind of like certificates given out in fifth-grade gym class to all the kids who do more than six sit-ups.",,,,,
28,https://www.logicallyfallacious.com/logicalfallacies/Alternative-Advance,"Max: If you’re not a witch, you have nothing to fear.  If you’re not a witch, you are not made of wood; therefore, you will sink and drown after we tie you up and throw you in the well.  If you do float, then you are made of wood, you are a witch, and we will hang you.
Glinda: Wait, how is it I have nothing to worry about if I am not a witch?
",Alternative Advance," The argument is created so that any woman accused of being a witch will die, which is certainly a lose-lose situation."," If you engage your critical thinking and realize other options exist and still choose one of the given options, you would not be guilty of fallacious reasoning.",," When one is presented with just two choices, both of which are essentially the same, just worded differently.  This technique is often used in sales.  Fallacious reasoning would be committed by the person accepting the options as the only options, which would most likely be on a subconscious level since virtually anyone—if they thought about it—would recognize other options exist.",, lose-lose situation)
29,https://www.logicallyfallacious.com/logicalfallacies/Alternative-Advance,"Guy working a booth in the mall: Excuse me, but you look like you can use a vacation!  Do you have a few minutes to chat about vacation destinations, or would you prefer I just send you some information by e-mail?
",Alternative Advance," Of course, other options include just ignoring the guy and keep walking; telling the guy, “no thank you,” and keep walking; or respond, “I have some time to chat. My rate is $10 per minute. Do you prefer to pay me by cash or check?”",,,,,
30,https://www.logicallyfallacious.com/logicalfallacies/Amazing-Familiarity,"The president is a good man and would have never cheated on his wife, and has never cheated in anything in the past.",Amazing Familiarity, Clearly the arguer could not know this unless the arguer was with the president all the time. We might assume that the arguer has some special knowledge and find this argument credible when we should only accept it as an opinion from someone who can't possibly know what he or she claims to know.," ""Seems impossible"" is not ""impossible."" It might be possible that someone actually has the detailed knowledge they claim. We need to keep that option open when thinking probabilistically.",Claim X is made that nobody could possibly know.," The argument contains information that seems impossible to have obtained—like it came from an omniscient author. This kind of writing/storytelling is characteristic of fiction, so when it is used in an argument it should cast doubt.",,"  argument from omniscience, ""how the hell can you possibly know that?"")"
31,https://www.logicallyfallacious.com/logicalfallacies/Amazing-Familiarity,"God wants us to love each other, but he is okay with us killing each other if we are defending our land—we will still go to Heaven.",Amazing Familiarity," Claims of knowing the mind of God are highly dubious. While we cannot rule out ""divine revelation,"" we would need to weigh that possibility against the likelihood of a false belief.",,,,,
32,https://www.logicallyfallacious.com/logicalfallacies/Amazing-Familiarity," 
Larry is pure evil.",Amazing Familiarity," Larry may be an ass. He might have done many bad things. Heck, he might have even have ripped the “do not remove under penalty of law” tag off his mattress. However, to make claims of “pure” evil, one would have to be Larry. While making absolute claims about a person such as being “pure evil” might just be hyperbole, if we take the claim at face value, knowing the claim to be true would require the kind of omniscience reflected in this fallacy.",,,,,
33,https://www.logicallyfallacious.com/logicalfallacies/Ambiguity-Fallacy,"It is said that we have a good understanding of our universe.  Therefore, we know exactly how it began and exactly when.",Ambiguity Fallacy," The ambiguity here is what exactly “good understanding” means.  The conclusion assumes a much better understanding than is suggested in the premise; therefore, we have the ambiguity fallacy."," Ambiguous phrases are extremely common in the English language and are a necessary part of informal logic and reasoning.  As long as these ambiguous phrases mean the same thing in all uses of phrases in the argument, this fallacy is not committed.","Claim X is made.
Y is concluded based on an ambiguous understanding of X."," When an unclear phrase with multiple definitions is used within the argument; therefore, does not support the conclusion.  Some will say single words count for the ambiguity fallacy, which is really a specific form of a fallacy known as equivocation.",," ambiguous assertion, amphiboly, amphibology, semantical ambiguity, vagueness)"
34,https://www.logicallyfallacious.com/logicalfallacies/Ambiguity-Fallacy,"All living beings come from other living beings.  Therefore, the first forms of life must have come from a living being.  That living being is God.",Ambiguity Fallacy," This argument is guilty of two cases of ambiguity.  First, the first use of the phrase, “come from”, refers to reproduction, whereas the second use refers to origin.  The fact that we know quite a bit about reproduction is irrelevant when considering origin.  Second, the first use of, “living being”, refers to an empirically verifiable, biological, living organism.  The second use of, “living being”, refers to a belief in an immaterial god.  As you can see, when a term such as, “living being”, describes a Dodo bird as well as the all-powerful master of the universe, it has very little meaning and certainly is not specific enough to draw logical or reasonable conclusions.",,,,,
35,https://www.logicallyfallacious.com/logicalfallacies/Ambiguity-Fallacy,"Bernice: Do you support Black Lives Matter?
Mildred: Of course, I do!
Bernice: Then you should support me looting that store.
Mildred: Wait... what?
",Ambiguity Fallacy," “Black Lives Matter” is a political ideology that has evolved from a simple declaration. Like all ideologies, it has many branches ranging from moderate to extreme. Bernice clearly has a different concept of Black Lives Matter than Mildred does. An argument can be had over who is perverting the ideology (we have seen this among different Christians for millennia), but the point remains that what is meant by “supporting Black Lives Matter” has become unclear.",,,,,
36,https://www.logicallyfallacious.com/logicalfallacies/Anonymous-Authority,"You know, they say that if you swallow gum it takes seven years to digest.  So whatever you do, don’t swallow the gum!",Anonymous Authority, “They” are wrong as “they” usually are.  Gum passes through the system relatively unchanged but does not hang around for 7 years like a college student terrified to get a job.  “They” is a common form of appeal to anonymous authority.," At times, an accepted fact uses the same indicating phrases like the ones used for the fallacy; therefore, if the anonymous authority is actually just a statement of an accepted fact, it should be accepted as evidence.
Climate change is happening -- and always has been.  Scientists say the earth is certainly in a warming phase, but there is some debate on the exact causes and certainly more debate on what should be done about it politically.","Person 1 once heard that X was true.
Therefore, X is true."," When an unspecified source is used as evidence for the claim.  This is commonly indicated by phrases such as “They say that...”, “It has been said...”, “I heard that...”, “Studies show...”, or generalized groups such as, “scientists say...”  When we fail to specify a source of the authority, we can’t verify the source, thus the credibility of the argument.  Appeals to anonymous sources are more often than not, a way to fabricate, exaggerate, or misrepresent facts in order to deceive others into accepting your claim.  At times, this deception is done subconsciously -- it might not always be deliberate.",, appeal to anonymous authority)
37,https://www.logicallyfallacious.com/logicalfallacies/Anonymous-Authority,"The 13.7 billion-year-old universe is a big conspiracy.  I read this article once where these notable scientists found strong evidence that the universe was created 6000 years ago, but because of losing their jobs, they were forced to keep quiet!",Anonymous Authority," Without knowing who these scientists are, or the credibility of the source of the article, we cannot verify the evidence; therefore, we should not accept the evidence.",,,,,
38,https://www.logicallyfallacious.com/logicalfallacies/Anthropomorphism,How dare you murder those carrots!,Anthropomorphism," Murder applies to humans, not carrots. By definition, one cannot murder carrots. In this example, the carrots are assumed to have the human characteristics that make murder “murder” and not just “killing” or “eating.”",,"Non-human thing is described with human characteristics.
Claim X is made that requires the human characteristics of the thing.
Therefore, claim X is true."," The attributing of human characteristics and purposes to inanimate objects, animals, plants, or other natural phenomena, or to gods. This becomes a logical fallacy when used within the context of an argument.",, personification)
39,https://www.logicallyfallacious.com/logicalfallacies/Anthropomorphism,"Akoni: The Polynesian fire goddess, Pele, sacrificed her own daughter in the volcano to bring peace to the islands. This is how I know she loves us.
Ubon: Aren't the gods and goddesses immortal?
Akoni: Err, yes.
Ubon: Then what happened to Pele's daughter after she was thrown in the volcano?
Akoni: She was reunited with Pele in the heavens.
Ubon: So why was this a sacrifice?
",Anthropomorphism," The goddess, Pele, and her daughter are given the human quality of the frailty of life in order for the concept of “sacrifice” to be meaningful.",,,,,
40,https://www.logicallyfallacious.com/logicalfallacies/Appeal-to-Accomplishment,"I have been around the block many times, and I have had my share of success.  So believe me when I tell you that there is no better hobby than cat-juggling.",Appeal to Accomplishment," We can all admire accomplishment and success, but this is irrelevant to cat-juggling.  There are many accomplished and successful people who are immoral, mean, insensitive, hateful, liars,  miserable, and just plain wrong about a great many things."," When one’s accomplishments are directly related to the argument, it is more meaningful.
I have been around the block many times, and I have had my share of success in real estate.  So believe me when I tell you that, if you know what you are doing, real estate can be a great way to make a great living.",," When the argument being made is sheltered from criticism based on the level of accomplishment of the one making the argument.  A form of this fallacy also occurs when arguments are evaluated on the accomplishments, or success, of the person making the argument, rather than on the merits of the argument itself.",, appeal to success)
41,https://www.logicallyfallacious.com/logicalfallacies/Appeal-to-Accomplishment,"I hold a doctorate in theology, have written 12 books, and personally met the Pope.  Therefore, when I say that Jesus’ favorite snack was raisins dipped in wine, you should believe me.",Appeal to Accomplishment," While the credentials of the one making the statement are certainly impressive, in no way do these credentials lend credibility to the belief that Jesus’ favorite snack was wine-dipped raisins.",,,,,
42,https://www.logicallyfallacious.com/logicalfallacies/Appeal-to-Anger,Are you tired of being ignored by your government?  Is it right that the top 1% have so much when the rest of us have so little?  I urge you to vote for me today!,Appeal to Anger," This is a common tactic to play on the emotions of others to get them to do what you want them to do.  The fact is, no evidence was given or claim was made linking your vote with the problems going away.  The politician will hope you will make the connection while she can claim innocence down the road when the people attempt to hold the politician to a promise she really never made."," Like all appeals to emotion, they work very well when used, in addition to a supported conclusion, not in place of one.
Are you tired of being ignored by your government?  Is it right that the top 1% have so much when the rest of us have so little?  I urge you to vote for me today, and I will spend my career making America a place where the wealth is more evenly distributed!",," When the emotions of anger, hatred, or rage are substituted for evidence in an argument.",," appeal to hatred, loathing, appeal to outrage, etc.)"
43,https://www.logicallyfallacious.com/logicalfallacies/Appeal-to-Anger,How can you possibly think that humans evolved from monkeys!  Does my nanna look like a flippin' monkey to you?,Appeal to Anger," Ignoring the fact that we didn’t evolve from monkeys (we share a common ancestor with modern African apes), the fact that the arguer is obviously offended is irrelevant to the facts.",,,,,
44,https://www.logicallyfallacious.com/logicalfallacies/Appeal-to-Authority,"Richard Dawkins, an evolutionary biologist and perhaps the foremost expert in the field, says that evolution is true. Therefore, it's true.",Appeal to Authority," Richard Dawkins certainly knows about evolution, and he can confidently tell us that it is true, but that doesn't make it true. What makes it true is the preponderance of evidence for the theory."," Be very careful not to confuse ""deferring to an authority on the issue"" with the appeal to authority fallacy. Remember, a fallacy is an error in reasoning. Dismissing the council of legitimate experts and authorities turns good skepticism into denialism. The appeal to authority is a fallacy in argumentation, but deferring to an authority is a reliable heuristic that we all use virtually every day on issues of relatively little importance. There is always a chance that any authority can be wrong, that’s why the critical thinker accepts facts provisionally. It is not at all unreasonable (or an error in reasoning) to accept information as provisionally true by credible authorities. Of course, the reasonableness is moderated by the claim being made (i.e., how extraordinary, how important) and the authority (how credible, how relevant to the claim).
The appeal to authority is more about claims that require evidence than about facts. For example, if your tour guide told you that Vatican City was founded February 11, 1929, and you accept that information as true, you are not committing a fallacy (because it is not in the context of argumentation) nor are you being unreasonable.","According to person 1, who is an expert on the issue of Y, Y is true.
Therefore, Y is true."," Insisting that a claim is true simply because a valid authority or expert on the issue said it was true, without any other supporting evidence offered. Also see the appeal to false authority .",," argument from authority, ipse dixit)"
