Source URL,"Logical Fallacy Types
Key separators: "" & "" to connect multiple logical fallacies, 
"" > "" to connect hierarchies of logical fallacy types, and 
"" / "" to connect synonyms of each other",Sentence (or small snippets of text),Explanations,Logical Form,Definition
https://cdn.annenbergclassroom.org/wp-content/uploads/student.handout.common.fallacies2.pdf,Appeal to Authority,"Hi, I’m Troy McClure. You might remember me from such films as The Day the Peacock Died. After filming scenes with feathered co-stars all day, there’s nothing I enjoy more than a bucket of Buster’s Chicken. It’s chickentastic!","While Troy might be an expert on making bad films, he has no particular expertise on fast food. Thus the fact that Troy McClure enjoys a particular sort of food is not a good reason for thinking that I ought to buy some.",,
https://cdn.annenbergclassroom.org/wp-content/uploads/student.handout.common.fallacies2.pdf,Undistributed Middle,Most Arabs are Muslims and all the 9/11 hijackers were also Muslims. Therefore most Arabs are hijackers.,"The conclusion doesn’t follow from the premises. To show this, substitute the following argument: My 5-year-old enjoys watching television, and teenagers also enjoy watching television. Therefore my 5-year-old is a teenager.",,
https://cdn.annenbergclassroom.org/wp-content/uploads/teacher.handout.sample.fallacies1.pdf,Red herring,"Ladies and gentlemen of the jury, look at the bloody clothes, the murder weapon. Imagine the helpless screams of the victim. Such a crime deserves no verdict except guilty, guilty!",The fact that the crime was horrible doesn’t imply the defendant’s guilt.,,
https://cdn.annenbergclassroom.org/wp-content/uploads/teacher.handout.sample.fallacies1.pdf,Appeal to inappropriate authority,"I’m not a doctor, but I play a doctor on TV, and I wouldn’t dream of using anything but Tylenol for my toughest headaches. ",More commonly (in this case) known as quackery.,,
https://cdn.annenbergclassroom.org/wp-content/uploads/teacher.handout.sample.fallacies1.pdf,Genetic fallacy,"According to Freud, your belief in God stems from your need for a strong father figure. So don’t you see that it’s silly to continue believing in God?",The origin of your belief in God has nothing to do with whether or not God exists.,,
https://cdn.annenbergclassroom.org/wp-content/uploads/teacher.handout.sample.fallacies1.pdf,Straw man,"How can you possibly believe in evolution? That would mean that you believe that an elephant evolved from a mouse, and that’s just ridiculous",Reducing the (very complex) theory of evolution to “elephants evolved from mice” is to create a distorted and oversimplified view of the theory.,,
https://cdn.annenbergclassroom.org/wp-content/uploads/teacher.handout.sample.fallacies1.pdf,Vagueness,"The nuthatch was discovered by Tilly Turnow in the woods, while hopping from branch to branch of an elm tree, singing happily.",Who was hopping from branch to branch singing happily?,,
https://cdn.annenbergclassroom.org/wp-content/uploads/teacher.handout.sample.fallacies1.pdf,Red herring,"You can hardly blame President Clinton for having extramarital affairs. Many presidents, when faced with similar situations, have yielded to the same temptations.",The fact that others have had affairs is not really relevant to whether or not Clinton ought to be blamed for having affairs.,,
https://cdn.annenbergclassroom.org/wp-content/uploads/teacher.handout.sample.fallacies1.pdf,False cause,"There are more laws on the books than ever before, and more crimes are being committed than ever before. Therefore, to reduce crime, we must eliminate the laws.","The mere fact that more crime followed the creation of more laws does not entail that the new laws caused more crime. (Interestingly, the argument does work in one sense: Eliminating laws would reduce crime since, by definition, something is a crime only if it is against the law. So no laws would equal no crime.)",,
https://cdn.annenbergclassroom.org/wp-content/uploads/teacher.handout.sample.fallacies1.pdf,Straw man,We should pass a constitutional amendment making it illegal to burn the American flag. Anyone who thinks otherwise just hates America.,"Many who oppose a constitutional amendment banning flag burning do so for fairly sophisticated reasons (e.g., a belief in the importance of free speech even when the speech is unpopular).",,
https://cdn.annenbergclassroom.org/wp-content/uploads/teacher.handout.sample.fallacies1.pdf,Red herring,"Radio talk show host, on learning that an association of critical thinking professors had suggested his show as a source of fallacious reasoning: “Who are these people? They talk to maybe 30 people at a time. I talk to 5 million people every day. They could not begin to do what I do. They are just gnats flying around getting in the way.”",The number of people whom one talks to has nothing to do with whether or not one is guilty of reasoning fallaciously.,,
https://cdn.annenbergclassroom.org/wp-content/uploads/teacher.handout.sample.fallacies1.pdf,Appeal to inappropriate authority,"U.S. Sen. Tom Coburn says that lesbianism is rampant in the Oklahoma schools. This must, indeed, be true, because surely the senator couldn't be mistaken about the schools in his own state.",It’s not clear that Coburn is an expert on lesbianism or on life in public schools.,,
https://cdn.annenbergclassroom.org/wp-content/uploads/teacher.handout.sample.fallacies1.pdf,Questionable use of statistics (unrepresentative sample),"Do most Americans believe in God? To find out, we asked over 10,000 scientists at colleges and universities throughout America. Less than 40 percent said they believed in God. The conclusion is obvious: Most Americans no longer believe in God.",The sample is pretty unrepresentative of the general American public.,,
https://cdn.annenbergclassroom.org/wp-content/uploads/teacher.handout.sample.fallacies1.pdf,Genetic fallacy,"Before he died, poet Allen Ginsberg argued in favor of legalizing pornography. But Ginsberg's arguments are nothing but trash. Ginsberg was a pot-smoking homosexual and a thoroughgoing advocate of the drug culture.",Rejects the argument based on the fact that Ginsberg is unsavory.,,
https://cdn.annenbergclassroom.org/wp-content/uploads/teacher.handout.sample.fallacies1.pdf,Red herring,"Many people criticize Thomas Jefferson for being an owner of slaves. But Jefferson was one of our greatest presidents, and his Declaration of Independence is one of the most eloquent pleas for freedom and democracy ever written. Clearly these criticisms are unwarranted.",The fact that Jefferson was a great president has nothing to do with whether he ought to be condemned for owning slaves.,,
https://cdn.annenbergclassroom.org/wp-content/uploads/teacher.handout.sample.fallacies1.pdf,Questionable use of statistics (small sample),"Miller Lite is cheap beer, so the Guinness will be cheap, too",One would need to analyze far more prices to make a conclusion about prices.,,
https://cdn.annenbergclassroom.org/wp-content/uploads/teacher.handout.sample.fallacies1.pdf,Vagueness,Wife: “I see Mr. Smith is cooking out on his new barbecue grill.” Husband: “So his wife finally got fed up with his unfaithfulness!”,Is Mr. Smith doing the cooking or is Mr. Smith being cooked?,,
https://cdn.annenbergclassroom.org/wp-content/uploads/teacher.handout.sample.fallacies1.pdf,Undistributed middle,"Poetry is a based on rhythm, and music is based on rhythm, so isn't poetry a kind of music?",Has the form A is B and C is B so A is C.,,
https://cdn.annenbergclassroom.org/wp-content/uploads/teacher.handout.sample.fallacies1.pdf,False cause,"The Soviet Union collapsed after taking up atheism. Therefore, we must avoid atheism for the same reasons.",The speaker assumes that taking up atheism caused the collapse of the Soviet Union without providing any evidence of a causal connection.,,
https://cdn.annenbergclassroom.org/wp-content/uploads/teacher.handout.sample.fallacies1.pdf,Genetic fallacy,"You’re a vegetarian? You do realize that Hitler was a vegetarian, too?",The fact that Hitler held a particular belief doesn’t make that belief wrong.,,
https://cdn.annenbergclassroom.org/wp-content/uploads/teacher.handout.sample.fallacies1.pdf,Undistributed middle,"Most heroin users started out smoking pot. If you start smoking pot, you’ll end up a heroin user, too.","The claim is that heroin users smoke pot and you smoke pot, so you’ll be a heroin user. That’s the A is B and C is B so A is C pattern again.",,
https://www.google.com/search?q=in+response+to+the+claim+that+%22Eating+fast+food+is+unhealthy%22%3A+%E2%80%9CBut+I+saw+you+eat+a+burger+and+fries+for+lunch+only+a+few+hours+ago!%22&oq=in+response+to+the+claim+that+%22Eating+fast+food+is+unhealthy%22%3A+%E2%80%9CBut+I+saw+you+eat+a+burger+and+fries+for+lunch+only+a+few+hours+ago!%22&aqs=chrome..69i57.192j0j1&sourceid=chrome&ie=UTF-8,ad hominem > Tu Quoque / the argument of hypocrisy,"in response to the claim that ""Eating fast food is unhealthy"": “But I saw you eat a burger and fries for lunch only a few hours ago!""",,,
https://lifehacker.com/spot-the-flaw-in-a-politicians-argument-with-this-guide-1796333209,Ad antiquitatem / appeal to tradition,"I am committed to preserving traditional marriage, the union of one man and one woman.",,,
https://lifehacker.com/spot-the-flaw-in-a-politicians-argument-with-this-guide-1796333209,Ad hominem / personal attack,Donald Trump mocked Romney for walking like a penguin. He also repeatedly called Jeb Bush low-energy.,,,
https://lifehacker.com/spot-the-flaw-in-a-politicians-argument-with-this-guide-1796333209,Ad ignorantiam / appeal to ignorance,4 percent of Americans believe that lizard people control politics.,,,
https://lifehacker.com/spot-the-flaw-in-a-politicians-argument-with-this-guide-1796333209,Ad misericordiam / appeal to pity,a lifelong Republican who was against Obamacare until it saved his life.,"this anecdote doesn’t really tell us what Obamacare does or look at the possible consequences of Obamacare. For that, there are statistics that can help you make rational arguments for or against Obamacare, like the number of people who would lose their healthcare without it.",,
https://lifehacker.com/spot-the-flaw-in-a-politicians-argument-with-this-guide-1796333209,Ad numerum / ad populum / appeal to numbers,"Trump cites (biased) poll results showing that people think he’s a strong leader to prove a point that he is a strong leader.

ABC News/Washington Post Poll (wrong big on election) said almost all stand by their vote on me & 53% said strong leader.",,,
https://lifehacker.com/spot-the-flaw-in-a-politicians-argument-with-this-guide-1796333209,False Dichotomy,"Hillary Clinton wants to take your guns away, and she wants to abolish the Second Amendment.",Trump creates a false dichotomy between allowing guns and completely banning guns when there are lots of other viewpoints between those two extremes.,,
https://lifehacker.com/spot-the-flaw-in-a-politicians-argument-with-this-guide-1796333209,Cherry picking,Kerry’s plan will raise taxes by at least $900 billion his first hundred days.,"Though people found that Kerry’s health plan would cost $895 billion, they also found that after including cost-cutting measures, it would actually cost $653 billion. When listening to statistics from politicans, look for the context of the data.",,
https://lifehacker.com/spot-the-flaw-in-a-politicians-argument-with-this-guide-1796333209,Circular argument,marijuana shouldn’t be legalized because it wasn’t socially acceptable.,,,
https://lifehacker.com/spot-the-flaw-in-a-politicians-argument-with-this-guide-1796333209,Dicto simpliciter / generalization,Democrats are gay and Republicans are rich.,,,
https://lifehacker.com/spot-the-flaw-in-a-politicians-argument-with-this-guide-1796333209,Ignoratio elenchi / missing the point,"Trump asked Clinton about her “33,000“ deleted emails, but Clinton responds by correcting him rather than addressing the deleted emails: “Not — well, we turned over 35,000, so…”",This response misses the point and doesn’t actually respond to his question.,,
https://lifehacker.com/spot-the-flaw-in-a-politicians-argument-with-this-guide-1796333209,red herring,"When asked about his comments Trump made on his tape with Billy Bush, Trump responded, “It’s locker room talk, and it’s one of those things. I will knock the hell out of ISIS. We’re going to defeat ISIS. ISIS happened a number of years ago in a vacuum that was left because of bad judgment. And I will tell you, I will take care of ISIS.”","Instead of addressing his comments, he changes the topic to ISIS.",,
https://lifehacker.com/spot-the-flaw-in-a-politicians-argument-with-this-guide-1796333209,Slippery Slope,"Trump presents a dark image of America if Clinton is elected, with “Syrian refugees flooding in, illegal immigrants convicted of crimes staying.”",,,
https://bookofbadarguments.com/?view=allpages,Straw man,My opponent is trying to convince you that we evolved from monkeys who were swinging from trees; a truly ludicrous claim.,"This is clearly a misrepresentation of what evolutionary biology claims, which is the idea that humans and chimpanzees shared a common ancestor several million years ago. Misrepresenting the idea is much easier than refuting the evidence for it.",,
https://towardsdatascience.com/is-gpt-3-reasonable-enough-to-detect-logical-fallacies-3c3dc4b7fda1,Circular argument,Smoking pot is against the law because it is wrong; I know it is wrong because it is against the law,,,
https://towardsdatascience.com/is-gpt-3-reasonable-enough-to-detect-logical-fallacies-3c3dc4b7fda1,Hasty generalization,People nowadays only vote with their emotions instead of their brains.,,,
https://towardsdatascience.com/is-gpt-3-reasonable-enough-to-detect-logical-fallacies-3c3dc4b7fda1,red herring,"My wife wants to talk about cleaning out the garage, so I asked her what she wants to do with our patio furniture. Now she's shopping for new patio furniture and not asking me about the garage.",,,
https://thebestschools.org/magazine/15-logical-fallacies-know/,causal fallacy,"Yesterday, I walked under a ladder with an open umbrella indoors while spilling salt in front of a black cat. And I forgot to knock on wood with my lucky dice. That must be why I’m having such a bad day today. It’s bad luck.","it’s theoretically possible that those things cause bad luck. But since those superstitions have no known or demonstrated causal power, and “luck” isn’t exactly the most scientifically reliable category, it’s more reasonable to assume that those events, by themselves, didn’t cause bad luck. Perhaps that person’s ""bad luck"" is just their own interpretation because they were expecting to have bad luck. They might be having a genuinely bad day, but we cannot assume some non-natural relation between those events caused today to go bad. That’s a Post Hoc fallacy. Now, if you fell off a ladder onto an angry black cat and got tangled in an umbrella, that will guarantee you one bad day.",,
https://thebestschools.org/magazine/15-logical-fallacies-know/,causal fallacy,"Since your parents named you ‘Harvest,’ they must be farmers.","It’s possible that the parents are farmers, but that name alone is not enough evidence to draw that conclusion. That name doesn’t tell us much of anything about the parents. This claim commits the false cause fallacy.",,
https://thebestschools.org/magazine/15-logical-fallacies-know/,causal fallacy,very time Joe goes swimming he is wearing his Speedos. Something about wearing that Speedo must make him want to go swimming.,"That statement is a correlational fallacy. Sure it’s theoretically possible that he spontaneously sports his euro-style swim trunks, with no thought of where that may lead, and surprisingly he’s now motivated to dive and swim in cold, wet nature. That’s possible. But it makes more sense that he put on his trunks because he already planned to go swimming.",,
https://thebestschools.org/magazine/15-logical-fallacies-know/,causal fallacy,Someone really should move this ‘deer crossing’ sign. This is a dangerous stretch of highway and the deer really should be crossing somewhere else.,,,
https://thebestschools.org/magazine/15-logical-fallacies-know/,causal fallacy,"Jimmy has a fever, sinus congestion, a cough, and can’t come to school, so he probably has a test later today.",,,
https://thebestschools.org/magazine/15-logical-fallacies-know/,causal fallacy,Jimmy isn’t at school today. He must be on a family trip.,,,
https://owl.purdue.edu/owl/general_writing/academic_writing/logic_in_argumentative_writing/fallacies.html,Slippery Slope,"If we ban Hummers because they are bad for the environment eventually the government will ban all cars, so we should not ban Hummers.","In this example, the author is equating banning Hummers with banning all cars, which is not the same thing.",,
https://owl.purdue.edu/owl/general_writing/academic_writing/logic_in_argumentative_writing/fallacies.html,Hasty Generalization,"Even though it's only the first day, I can tell this is going to be a boring course.","In this example, the author is basing his evaluation of the entire course on only the first day, which is notoriously boring and full of housekeeping tasks for most courses. To make a fair and reasonable evaluation the author must attend not one but several classes, and possibly even examine the textbook, talk to the professor, or talk to others who have previously finished the course in order to have sufficient evidence to base a conclusion on.",,
https://owl.purdue.edu/owl/general_writing/academic_writing/logic_in_argumentative_writing/fallacies.html,Post hoc ergo propter hoc,"I drank bottled water and now I am sick, so the water must have made me sick.","In this example, the author assumes that if one event chronologically follows another the first event must have caused the second. But the illness could have been caused by the burrito the night before, a flu bug that had been working on the body for days, or a chemical spill across campus. There is no reason, without more evidence, to assume the water caused the person to be sick.",,
https://owl.purdue.edu/owl/general_writing/academic_writing/logic_in_argumentative_writing/fallacies.html,Genetic Fallacy,The Volkswagen Beetle is an evil car because it was originally designed by Hitler's army.,"In this example the author is equating the character of a car with the character of the people who built the car. However, the two are not inherently related.",,
https://owl.purdue.edu/owl/general_writing/academic_writing/logic_in_argumentative_writing/fallacies.html,Begging the Claim,Filthy and polluting coal should be banned.,"Arguing that coal pollutes the earth and thus should be banned would be logical. But the very conclusion that should be proved, that coal causes enough pollution to warrant banning its use, is already assumed in the claim by referring to it as ""filthy and polluting.""",,
https://owl.purdue.edu/owl/general_writing/academic_writing/logic_in_argumentative_writing/fallacies.html,Circular Argument,George Bush is a good communicator because he speaks effectively.,"In this example, the conclusion that Bush is a ""good communicator"" and the evidence used to prove it ""he speaks effectively"" are basically the same idea. Specific evidence such as using everyday language, breaking down complex problems, or illustrating his points with humorous stories would be needed to prove either half of the sentence.",,
https://owl.purdue.edu/owl/general_writing/academic_writing/logic_in_argumentative_writing/fallacies.html,Either-or,We can either stop using cars or destroy the earth.,"In this example, the two choices are presented as the only options, yet the author ignores a range of choices in between such as developing cleaner technology, car-sharing systems for necessities and emergencies, or better community planning to discourage daily driving.",,
https://owl.purdue.edu/owl/general_writing/academic_writing/logic_in_argumentative_writing/fallacies.html,Ad hominem,"Green Peace's strategies aren't effective because they are all dirty, lazy hippies.","In this example, the author doesn't even name particular strategies Green Peace has suggested, much less evaluate those strategies on their merits. Instead, the author attacks the characters of the individuals in the group.",,
https://owl.purdue.edu/owl/general_writing/academic_writing/logic_in_argumentative_writing/fallacies.html,Ad populum / Bandwagon Appeal,If you were a true American you would support the rights of people to choose whatever vehicle they want.,"In this example, the author equates being a ""true American,"" a concept that people want to be associated with, particularly in a time of war, with allowing people to buy any vehicle they want even though there is no inherent connection between the two.",,
https://owl.purdue.edu/owl/general_writing/academic_writing/logic_in_argumentative_writing/fallacies.html,Red Herring,"The level of mercury in seafood may be unsafe, but what will fishers do to support their families?","In this example, the author switches the discussion away from the safety of the food and talks instead about an economic issue, the livelihood of those catching fish. While one issue may affect the other it does not mean we should ignore possible safety issues because of possible economic consequences to a few individuals.",,
https://owl.purdue.edu/owl/general_writing/academic_writing/logic_in_argumentative_writing/fallacies.html,Straw Man,People who don't support the proposed state minimum wage increase hate the poor.,"In this example, the author attributes the worst possible motive to an opponent's position. In reality, however, the opposition probably has more complex and sympathetic arguments to support their point. By not addressing those arguments, the author is not treating the opposition with respect or refuting their position.",,
https://owl.purdue.edu/owl/general_writing/academic_writing/logic_in_argumentative_writing/fallacies.html,Moral Equivalence,That parking attendant who gave me a ticket is as bad as Hitler.,"In this example, the author is comparing the relatively harmless actions of a person doing their job with the horrific actions of Hitler. This comparison is unfair and inaccurate.",,
https://valenciacollege.edu/students/learning-support/winter-park/communications/documents/LogicalFallaciesCSSCTipSheet_Revised_.pdf,Post hoc ergo propter hoc,"Every time I wash my car, it rains",,,
https://valenciacollege.edu/students/learning-support/winter-park/communications/documents/LogicalFallaciesCSSCTipSheet_Revised_.pdf,Post hoc ergo propter hoc,"Our garage sale made lots of money before Joan showed up. Obviously, she scared off all the customers.",,,
https://valenciacollege.edu/students/learning-support/winter-park/communications/documents/LogicalFallaciesCSSCTipSheet_Revised_.pdf,Non Sequitur,Mrs. Sedik really knows math; she would be an excellent math instructor.,The conclusion may not be valid. Here an INFERENCE is substituted for a logical conclusion. One cannot automatically conclude that all individuals who are good at math can teach this subject well.,,
https://valenciacollege.edu/students/learning-support/winter-park/communications/documents/LogicalFallaciesCSSCTipSheet_Revised_.pdf,Non Sequitur,Jim spends most of his spare time hiking and picking up rocks for his collection. He really should go to college and study to become a geologist.,,,
https://valenciacollege.edu/students/learning-support/winter-park/communications/documents/LogicalFallaciesCSSCTipSheet_Revised_.pdf,Begging the Question,All hunting is inhumane and should be outlawed.,"The reader is asked, or begged, to accept as truth the statement ""hunting is inhumane"" without proof.",,
https://valenciacollege.edu/students/learning-support/winter-park/communications/documents/LogicalFallaciesCSSCTipSheet_Revised_.pdf,Begging the Question,"All useless laws, such as Reform Bill 13, should be repealed.",,,
https://valenciacollege.edu/students/learning-support/winter-park/communications/documents/LogicalFallaciesCSSCTipSheet_Revised_.pdf,Circular Argument,There aren't enough parking spaces on campus because there are too many cars.,I dislike abstract art because it is unrealistic.,,
https://valenciacollege.edu/students/learning-support/winter-park/communications/documents/LogicalFallaciesCSSCTipSheet_Revised_.pdf,Hasty Generalization,I would never buy a Buick. My father owned two of them and both of them had frequent transmission problems. Buicks obviously break down all the time.,,,
https://valenciacollege.edu/students/learning-support/winter-park/communications/documents/LogicalFallaciesCSSCTipSheet_Revised_.pdf,Hasty Generalization,Everyone is against child pornography. I asked Mrs. Smith and Mr. Jones at the PTA meeting and they are definitely against it.,,,
https://valenciacollege.edu/students/learning-support/winter-park/communications/documents/LogicalFallaciesCSSCTipSheet_Revised_.pdf,Either-or,Love America or leave it.,,,
https://valenciacollege.edu/students/learning-support/winter-park/communications/documents/LogicalFallaciesCSSCTipSheet_Revised_.pdf,Either-or,"If you don't pay taxes, you don't deserve the right to vote.",,,
https://valenciacollege.edu/students/learning-support/winter-park/communications/documents/LogicalFallaciesCSSCTipSheet_Revised_.pdf,Faulty Analogy,"If the state can require car seats for small children and infants, they can just as easily require mothers to breast-feed instead of using formula.",,,
https://valenciacollege.edu/students/learning-support/winter-park/communications/documents/LogicalFallaciesCSSCTipSheet_Revised_.pdf,Faulty Analogy,Allowing people to possess guns is like giving a bomb to a bunch of kids.,,,
https://valenciacollege.edu/students/learning-support/winter-park/communications/documents/LogicalFallaciesCSSCTipSheet_Revised_.pdf,Ad Hominem,The senator voted for the tax increase. It's not hard to understand why when you consider that he is a millionaire and has never had to worry about money.,,,
https://valenciacollege.edu/students/learning-support/winter-park/communications/documents/LogicalFallaciesCSSCTipSheet_Revised_.pdf,Ad Hominem,Dr. Bloom cannot be a competent marriage counselor because he is divorced.,,,
https://valenciacollege.edu/students/learning-support/winter-park/communications/documents/LogicalFallaciesCSSCTipSheet_Revised_.pdf,Ad populum,"President Clinton is an advocate of socialized medicine, which is a form of communism.",,,
https://valenciacollege.edu/students/learning-support/winter-park/communications/documents/LogicalFallaciesCSSCTipSheet_Revised_.pdf,Ad populum,"If you are a true American, you will ask your congressman to vote against NAFTA.",,,
https://valenciacollege.edu/students/learning-support/winter-park/communications/documents/LogicalFallaciesCSSCTipSheet_Revised_.pdf,Bandwagon Fallacy,Eat lamb--could thousands of coyotes be wrong?,,,
https://valenciacollege.edu/students/learning-support/winter-park/communications/documents/LogicalFallaciesCSSCTipSheet_Revised_.pdf,Bandwagon Fallacy,We now produce the best program in existence; four thousand businesses subscribe to our program.,,,
https://valenciacollege.edu/students/learning-support/winter-park/communications/documents/LogicalFallaciesCSSCTipSheet_Revised_.pdf,Red Herring,"Latin should not be taught in school since it is not spoken anywhere in the world. All learning should have some use to be of value, and a dead language has no practical use.","The fact that Latin is a ""dead"" language is not relevant to why Latin should be taught in schools. In point of fact, learning Latin would have a use because many of the prefixes and roots in the English language have their origin in the Latin language.",,
