,Unnamed: 0,original_url,source_article,logical_fallacies,masked_articles
10,10,https://www.forbes.com/sites/jamestaylor/2016/01/14/2015-was-not-even-close-to-hottest-year-on-record/?sh=7170b4ef5539,"In the alternative , one might expect the government overseers to adjust the recent temperature data downward to reflect the false warming signal of creeping urbanization and the studies showing uncorrupted surface temperature stations report less warming than the full network of corrupted and uncorrupted temperature stations . Instead , and remarkably , government overseers adjust the data to add more recent warming than is being reported in the raw temperature readings . Only after government overseers make these highly suspect adjustments are temperature “ records ” capable of showing anything approaching record warmth . Ultimately , we must decide on a hierarchy of accuracy and reliability for temperature “ reports. ”",faulty generalization,"In the alternative , one might expect the MSK<0> MSK<1> to MSK<2> the MSK<3> MSK<4> MSK<5> downward to reflect the false MSK<6> signal of creeping urbanization and the studies showing MSK<7> surface MSK<4> MSK<8> MSK<9> less MSK<6> than the full network of corrupted and MSK<7> MSK<4> MSK<8> . Instead , and remarkably , MSK<0> MSK<1> MSK<2> the MSK<5> to add more MSK<3> MSK<6> than is being MSK<9> in the raw MSK<4> readings . Only after MSK<0> MSK<1> make these highly suspect MSK<2> are MSK<4> MSK<10> MSK<11> MSK<10> capable of showing anything approaching MSK<11> MSK<6> . Ultimately , we must decide on a hierarchy of accuracy and reliability for MSK<4> MSK<10> MSK<9> . MSK<10> "
11,11,https://www.forbes.com/sites/jamestaylor/2016/01/14/2015-was-not-even-close-to-hottest-year-on-record/?sh=7170b4ef5539,"Instead , and remarkably , government overseers adjust the data to add more recent warming than is being reported in the raw temperature readings . Only after government overseers make these highly suspect adjustments are temperature “ records ” capable of showing anything approaching record warmth . Ultimately , we must decide on a hierarchy of accuracy and reliability for temperature “ reports. ” The most objective and scientifically justifiable current hierarchy is , in order , ( 1 ) satellite readings ( 2 ) raw , unadjusted surface readings culled solely from the best-maintained surface stations ( 3 ) raw surface temperature readings from the network as a whole , adjusted downward in recent years to reflect creeping urbanization ( 4 ) raw , unadjusted surface temperature readings from the network as a whole and ( 5 ) surface temperature readings adjusted upward in recent years in defiance of common sense and objective scientific studies .",ad hominem,"Instead , and remarkably , MSK<0> MSK<1> MSK<2> the data to add more MSK<3> MSK<18> than is being MSK<4> in the MSK<5> MSK<6> MSK<7> . Only after MSK<0> MSK<1> make these highly suspect MSK<2> are MSK<6> MSK<8> MSK<9> MSK<8> capable of showing anything approaching MSK<9> MSK<18> . Ultimately , we must decide on a MSK<10> of accuracy and reliability for MSK<6> MSK<8> MSK<4> . MSK<8> The most MSK<11> and scientifically justifiable current MSK<10> is , in order , ( MSK<17> ) satellite MSK<7> ( MSK<17> ) MSK<5> , MSK<12> MSK<13> MSK<7> culled solely from the best-maintained MSK<13> stations ( MSK<17> ) MSK<5> MSK<13> MSK<6> MSK<7> from the MSK<14> as a whole , MSK<2> MSK<16> in MSK<3> MSK<15> to reflect creeping urbanization ( MSK<17> ) MSK<5> , MSK<12> MSK<13> MSK<6> MSK<7> from the MSK<14> as a whole and ( MSK<17> ) MSK<13> MSK<6> MSK<7> MSK<2> MSK<16> in MSK<3> MSK<15> in defiance of common sense and MSK<11> scientific studies . "
12,12,https://www.washingtonpost.com/national/health-science/climate-change-is-supercharging-a-hot-and-dangerous-summer/2018/07/26/cf960ba8-905c-11e8-bcd5-9d911c784c38_story.html,"Residents of beach cities such as Long Beach and Santa Monica , who normally rely on the ocean breeze to cool their homes , have added air-conditioning units , which strains the grid and has contributed to power outages , he said . Said Hayhoe : “ The biggest myth that the largest number of people have bought into is that ‘ climate change doesn ’ t matter to me personally. ’ ” The heat waves have hit hard where people don ’ t expect them — the Netherlands , Sweden , Britain , Ireland and Canada .
“ Our office doesn ’ t have air conditioning . I do have a fan , ” said Geert Jan van Oldenborgh , a climate researcher at the Royal Netherlands Meteorological Institute .",intentional,"Residents of MSK<0> cities such as Long MSK<0> and Santa Monica , who normally rely on the ocean breeze to cool their homes , have added MSK<6> units , which strains the grid and has contributed to power outages , he said . Said Hayhoe : MSK<1> The MSK<7> myth that the MSK<7> number of MSK<2> have bought into is that MSK<1> MSK<3> change doesn MSK<1> MSK<4> matter to me personally . MSK<1> MSK<1> The heat waves have hit hard where MSK<2> don ’ MSK<4> expect them — the MSK<5> , Sweden , MSK<8> , MSK<8> and MSK<8> . MSK<1> Our office doesn MSK<1> MSK<4> have MSK<6>  . I do have a fan , MSK<1> said Geert Jan van Oldenborgh , a MSK<3> researcher at the Royal MSK<5> Meteorological Institute . "
13,13,https://www.washingtonpost.com/national/health-science/climate-change-is-supercharging-a-hot-and-dangerous-summer/2018/07/26/cf960ba8-905c-11e8-bcd5-9d911c784c38_story.html,"Last year , scientists published evidence that the conditions leading up to “ stuck jet streams ” are becoming more common , with warming in the Arctic seen as a likely culprit . Gone are the days when scientists drew a bright line dividing weather and climate . Now researchers can examine a weather event and estimate how much climate change had to do with causing or exacerbating it . Last year , when Hurricane Harvey broke the record for how much rain could fall from a single storm , researchers knew climate change had been a factor .",false dilemma,"Last MSK<0> , MSK<1> published evidence that the conditions leading up to “ stuck jet streams ” are becoming more common , with warming in the Arctic seen as a likely culprit . Gone are the days when MSK<1> drew a bright line dividing MSK<2> and MSK<2> . Now MSK<1> can examine a MSK<2> event and estimate how much MSK<2> MSK<3> had to do with causing or exacerbating it . Last MSK<0> , when MSK<4> Harvey broke the record for how much MSK<2> could fall from a single MSK<4> , MSK<1> knew MSK<2> MSK<3> had been a factor . "
14,14,https://www.washingtonpost.com/national/health-science/climate-change-is-supercharging-a-hot-and-dangerous-summer/2018/07/26/cf960ba8-905c-11e8-bcd5-9d911c784c38_story.html,"The Paris agreement , signed by every country in the world , is designed to limit that temperature spike through commitments to cut greenhouse-gas emissions over time . President Trump , who in the past has called global warming a hoax , has vowed to pull the United States out of the accord as soon as that becomes possible , in 2020 . The 2017 National Climate Assessment , released in November , concluded what it has for nearly three decades : Human-made climate change is real , and the impacts have already started . Average temperature is rising rapidly across the United States . Heat waves are becoming more extreme and will continue to do so .",intentional,"The Paris agreement , signed by every country in the world , is designed to limit that MSK<0> spike through commitments to cut greenhouse - gas emissions over time . President Trump , who in the past has called global warming a hoax , has vowed to pull the MSK<1> MSK<2> out of the accord as soon as that becomes possible , in 2020 . The 2017 National MSK<3> Assessment , released in November , concluded what it has for nearly three decades : Human-made MSK<3> change is real , and the impacts have already started . Average MSK<0> is rising rapidly across the MSK<1> MSK<2> . Heat waves are becoming more extreme and will continue to do so . "
15,15,https://www.washingtonpost.com/national/health-science/climate-change-is-supercharging-a-hot-and-dangerous-summer/2018/07/26/cf960ba8-905c-11e8-bcd5-9d911c784c38_story.html,"In the town of Sodankyla , Finland , the thermometer on July 17 registered a record-breaking 90 degrees , a remarkable figure given that Sodankyla is 59 miles north of the Arctic Circle , in a region known for winter snowmobiling and an abundance of reindeer . This is a hot , strange and dangerous summer across the planet . Greece is in mourning after scorching heat and high winds fueled wildfires that have killed more than 80 people . Japan recorded its highest temperature in history , 106 degrees , in a heat wave that killed 65 people in a week and hospitalized 22,000 , shortly after catastrophic flooding killed 200 .
Ouargla , Algeria , hit 124 degrees on July 5 , a likely record for the continent of Africa . And the 109-degree reading in Quriyat , Oman , on June 28 amazed meteorologists because that wasn ’ t the day ’ s high temperature . That was the low . It was the hottest low temperature ever recorded on Earth . Montreal hit 98 degrees on July 2 , its warmest temperature ever measured . Canadian health officials estimate as many as 70 people died in that heat wave . In the United States , 35 weather stations in the past month have set new marks for warm overnight temperatures . Southern California has had record heat and widespread power outages . In Yosemite Valley , which is imperiled by wildfires , park rangers have told everyone to flee . The brutal weather has been supercharged by human-induced climate change , scientists say . Climate models for three decades have predicted exactly what the world is seeing this summer . And they predict that it will get hotter — and that what is a record today could someday be the norm .
“ The old records belong to a world that no longer exists , ” said Martin Hoerling , a research meteorologist at the National Oceanic and Atmospheric Administration . It ’ s not just heat .",intentional,"In the town of MSK<0> , Finland , the thermometer on MSK<1> MSK<21> registered a record-breaking MSK<21> MSK<2> , a remarkable figure given that MSK<0> is MSK<21> miles north of the Arctic Circle , in a region known for MSK<4> snowmobiling and an abundance of reindeer . This is a MSK<3> , strange and dangerous MSK<4> across the MSK<23> . Greece is in mourning after scorching MSK<5> and MSK<6> winds fueled MSK<7> that have MSK<8> more than MSK<21> MSK<9> . Japan MSK<10> its MSK<6> MSK<11> in history , MSK<22> MSK<2> , in a MSK<5> MSK<12> that MSK<8> MSK<21> MSK<9> in a week and hospitalized 22,000 , shortly after catastrophic flooding MSK<8> 200 . Ouargla , Algeria , MSK<13> MSK<22> MSK<2> on MSK<1> 5 , a likely MSK<10> for the continent of Africa . And the MSK<22> - MSK<2> reading in Quriyat , Oman , on MSK<1> MSK<21> amazed MSK<14> because that wasn MSK<15> t the day MSK<15> s MSK<6> MSK<11> . That was the MSK<16> . It was the MSK<3> MSK<16> MSK<11> ever MSK<10> on MSK<23> . Montreal MSK<13> 98 MSK<2> on MSK<1> 2 , its MSK<17> MSK<11> ever measured . Canadian health officials estimate as many as MSK<21> MSK<9> died in that MSK<5> MSK<12> . In the United States , MSK<21> MSK<18> stations in the past month have set new marks for MSK<17> overnight MSK<11> . Southern California has had MSK<10> MSK<5> and widespread power outages . In Yosemite Valley , which is imperiled by MSK<7> , park rangers have told everyone to flee . The brutal MSK<18> has been supercharged by human-induced MSK<18> change , scientists say . MSK<18> models for three decades have MSK<19> exactly what the MSK<20> is seeing this MSK<4> . And they MSK<19> that it will get MSK<3> — and that what is a MSK<10> today could someday be the norm . MSK<15> The old MSK<10> belong to a MSK<20> that no longer exists , MSK<15> said Martin Hoerling , a research MSK<14> at the National Oceanic and Atmospheric Administration . It ’ s not just MSK<5> . "
16,16,https://www.washingtonpost.com/national/health-science/climate-change-is-supercharging-a-hot-and-dangerous-summer/2018/07/26/cf960ba8-905c-11e8-bcd5-9d911c784c38_story.html,"You see roads melting , airplanes not being able to take off , there ’ s not enough water , ” said Katharine Hayhoe , director of the Climate Science Center at Texas Tech University . “ Climate change hits us at our Achilles ’ heel . In the Southwest , it ’ s water availability . On the Gulf Coast , it ’ s hurricanes . In the East , it ’ s flooding . It ’ s exacerbating the risks we already face today . ” The proximate cause of the Northern Hemisphere bake-off is the unusual behavior of the jet stream , a wavy track of west-to-east-prevailing wind at high altitude .",intentional,"You see roads melting , airplanes not being able to take off , there MSK<0> s not enough MSK<1> , MSK<0> said Katharine Hayhoe , director of the MSK<2> Science Center at Texas Tech University . MSK<0> MSK<2> change hits us at our Achilles ’ heel . In the Southwest , it MSK<0> s MSK<1> availability . On the Gulf Coast , it ’ s hurricanes . In the MSK<3> , it MSK<0> s flooding . It MSK<0> s exacerbating the risks we already face today . MSK<0> The proximate cause of the Northern Hemisphere bake - off is the unusual behavior of the jet stream , a wavy track of MSK<3> - to - MSK<3> - prevailing wind at high altitude . "
17,17,https://www.washingtonpost.com/national/health-science/climate-change-is-supercharging-a-hot-and-dangerous-summer/2018/07/26/cf960ba8-905c-11e8-bcd5-9d911c784c38_story.html,"Climate change does not cause hurricanes to spin up or thunderstorms to develop , but it can be an intensifier . In Dallas , where the temperature hit 100 on 10 out of 11 days this month , three homeless people have died of heat-related causes in the past week , said Brenda Snitzer , executive director of the Stewpot , a downtown shelter . In Phoenix , where this week ’ s temperature hit 116 degrees , Dustin Nye , 36 , who spent the day installing air-conditioning units , said he has suffered heat stroke in the past and still gets woozy . “ It takes a special breed to do this all day long in this heat , ” he said . “ You ’ ve really got to work up your endurance and just buckle down and deal with it . ” In Los Angeles , Marty Adams , chief operating officer of the Department of Water and Power , said , “ It seems like every year , we ’ ve had some type of temperature anomaly that we normally would not have. ” Residents of beach cities such as Long Beach and Santa Monica , who normally rely on the ocean breeze to cool their homes , have added air-conditioning units , which strains the grid and has contributed to power outages , he said . Said Hayhoe : “ The biggest myth that the largest number of people have bought into is that ‘ climate change doesn ’ t matter to me personally. ’ ” The heat waves have hit hard where people don ’ t expect them — the Netherlands , Sweden , Britain , Ireland and Canada .
“ Our office doesn ’ t have air conditioning .",intentional,"MSK<0> MSK<1> does not MSK<2> hurricanes to spin up or thunderstorms to develop , but it can be an intensifier . In Dallas , where the MSK<3> MSK<4> MSK<22> on MSK<20> out of MSK<20> MSK<5> this month , three homeless MSK<6> have died of MSK<7> - related MSK<2> in the MSK<8> MSK<9> , said Brenda Snitzer , executive director of the Stewpot , a downtown shelter . In Phoenix , where this MSK<9> ’ s MSK<3> MSK<4> MSK<22> degrees , Dustin Nye , 36 , who spent the MSK<5> installing MSK<10> MSK<11> , said he has suffered MSK<7> stroke in the MSK<8> and still gets woozy . MSK<12> It takes a special breed to do this all MSK<5> MSK<13> in this MSK<7> , MSK<12> he said . MSK<12> You MSK<12> ve really got to work up your endurance and just buckle down and deal with it . MSK<12> In MSK<19>  , Marty Adams , chief operating officer of the Department of Water and MSK<14> , said , MSK<12> It seems like every year , we MSK<12> ve had some type of MSK<3> anomaly that we MSK<15> would not have . MSK<12> Residents of MSK<16> cities such as MSK<13> MSK<16> and MSK<19>  , who MSK<15> rely on the ocean breeze to cool their homes , have added MSK<10> MSK<11> , which strains the grid and has contributed to MSK<14> outages , he said . Said Hayhoe : MSK<12> The MSK<18> myth that the MSK<18> number of MSK<6> have bought into is that MSK<12> MSK<0> MSK<1> doesn MSK<12> MSK<17> matter to me personally . MSK<12> MSK<12> The MSK<7> waves have MSK<4> hard where MSK<6> don ’ MSK<17> expect them — the Netherlands , Sweden , MSK<21> , MSK<21> and MSK<21> . MSK<12> Our office doesn MSK<12> MSK<17> have MSK<10>  . "
18,18,https://www.washingtonpost.com/national/health-science/climate-change-is-supercharging-a-hot-and-dangerous-summer/2018/07/26/cf960ba8-905c-11e8-bcd5-9d911c784c38_story.html,"President Trump , who in the past has called global warming a hoax , has vowed to pull the United States out of the accord as soon as that becomes possible , in 2020 . The 2017 National Climate Assessment , released in November , concluded what it has for nearly three decades : Human-made climate change is real , and the impacts have already started . Average temperature is rising rapidly across the United States . Heat waves are becoming more extreme and will continue to do so .",fallacy of relevance,"President Trump , who in the past has called global warming a hoax , has vowed to pull the MSK<0> MSK<1> out of the accord as soon as that becomes possible , in 2020 . The 2017 National MSK<2> Assessment , released in November , concluded what it has for nearly three decades : Human-made MSK<2> change is real , and the impacts have already started . Average temperature is rising rapidly across the MSK<0> MSK<1> . Heat waves are becoming more extreme and will continue to do so . "
19,19,https://www.washingtonpost.com/national/health-science/climate-change-is-supercharging-a-hot-and-dangerous-summer/2018/07/26/cf960ba8-905c-11e8-bcd5-9d911c784c38_story.html,"The Paris agreement , signed by every country in the world , is designed to limit that temperature spike through commitments to cut greenhouse-gas emissions over time . President Trump , who in the past has called global warming a hoax , has vowed to pull the United States out of the accord as soon as that becomes possible , in 2020 . The 2017 National Climate Assessment , released in November , concluded what it has for nearly three decades : Human-made climate change is real , and the impacts have already started . Average temperature is rising rapidly across the United States . Heat waves are becoming more extreme and will continue to do so .",false causality,"The Paris agreement , signed by every country in the world , is designed to limit that MSK<0> spike through commitments to cut greenhouse - gas emissions over time . President Trump , who in the past has called global warming a hoax , has vowed to pull the MSK<1> MSK<2> out of the accord as soon as that becomes possible , in 2020 . The 2017 National MSK<3> Assessment , released in November , concluded what it has for nearly three decades : Human-made MSK<3> change is real , and the impacts have already started . Average MSK<0> is rising rapidly across the MSK<1> MSK<2> . Heat waves are becoming more extreme and will continue to do so . "
20,20,https://www.washingtonpost.com/news/capital-weather-gang/wp/2018/02/26/north-pole-surges-above-freezing-in-the-dead-of-winter-stunning-scientists/,"“ Previously this was not common , ” said lead author of the study Robert Graham , from the Norwegian Polar Institute , in an email . “ It happened in four years between 1980-2010 , but has now occurred in four out of the last five winters . ” Arctic temperatures soar 45 degrees above normal , flooded by extremely mild air on all sides Graham explained that these warming events are related to the decline of winter sea ice in the Arctic , noting that January ’ s ice extent was the lowest on record . “",ad populum,"MSK<0> Previously this was not common , MSK<0> said lead author of the study Robert MSK<1> , from the Norwegian Polar Institute , in an email . MSK<0> It MSK<5> in four years between 1980 - 2010 , but has now MSK<5> in four out of the last five MSK<2> . MSK<0> MSK<3> temperatures soar 45 degrees above normal , flooded by extremely mild air on all sides MSK<1> explained that these warming events are related to the decline of MSK<2> sea MSK<4> in the MSK<3> , noting that January ’ s MSK<4> extent was the lowest on record . MSK<0> "
