,claim,labels,pros,cons
12,"The parent is just one example. Even if we grant it as true, it is just one example of evil. It certainly isn't clear that evil outweighs good in this world. It is a complete matter of perception.Red herring. The amount of good is not the point, it's the egregious amount of evil that's a problem.",['fallacy of relevance'],[nan],"["" This is still a red herring. The amount of good is irrelevant to the question. It's the absolute amount of evil, in it's own right, that is evil.\nClick here to see the claims underneath.\n  If one being is suffering, the fact that other beings are out having fun does not reduce the suffering of the one being one bit. It's a red herring.""]"
13,"If we draw the line at conception, then all hormone based contraceptive methods are abortions.While this is true, it is not an argument in favor of abortion.",['fallacy of relevance'],[nan],[nan]
14,"If we draw the line at conception, then all hormone-based contraceptive methods are abortions.While this is true, it is not an argument in favor of abortion.",['fallacy of relevance'],[nan],[nan]
15,"Because of the existence of evil, there cannot be a monotheistic God (as traditionally conceived).Since humans are limited in their capacity to conceptualize God then it's highly possible that our assumptions that God is all good, all knowing and all powerful are wrong.",['fallacy of relevance'],[nan],[nan]
16,"The pervasive existence in nature of Biological Exploitation, especially parasitism and predation causes immense suffering and death. An evil god could not have created a more vicious cycle if it tried: to live, animals are required to kill other life.The parent is just one example. Even if we grant it as true, it is just one example of evil. It certainly isn't clear that evil outweighs good in this world. It is a complete matter of perception.",['fallacy of relevance'],[nan],[' It is not a red herring to claim that evil is only evil in relation to good.\nClick here to see the claims underneath.\n ']
17,The burden of proof for a universe created from nothing has not been met.Red Herring argument. this does not refute the original point.,['fallacy of relevance'],[nan],[nan]
18,"Political correctness creates an inhospitable environment for free speech and by extension, free thought and free expression.The idea that views which run counter to social norms should be kept under wraps, especially by threat of criminal sanction, is an unreasonable standard to impose on individuals in society today, and it is immoral to bind future generations to this standard when they will have to fight the social norms to gain the freedom to discuss it.",['fallacy of relevance'],[' 5\nThis is a distortion of the meaning of PC. PC is NOT about suppressing views that run counter a social norm. That is a completely different concept.\nClick here to see the claims underneath.\n '],[nan]
19,"In either case, the crime of treason merits a maximum penalty. The state can’t trust a traitor.A just God would not exaggerate the vengeful and vindictive nature of human kings to the point of parody and make excuses for it, but would do what is actually right.",['fallacy of relevance'],[nan],"[' Murdering a leader is an example where it is easier to illustrate the distinction between apolitical justice and the demands of realpolitik, because there is no possible comparison analogous to ""murdering anyone else"".\nClick here to see the claims underneath.\n ']"
20,"Red herring. The amount of good is not the point, it's the egregious amount of evil that's a problem.It is not a red herring to claim that evil is only evil in relation to good.",['fallacy of relevance'],[nan],"[' It is not denied that evil is evil (regardless of the size). The objection at root is saying the amount is unjustified. For this to be true, we must consider the good accomplished in spite of the evil to determine if evil really is egregious.\nClick here to see the claims underneath.\n ', ' The parent simply repeats the original problem, “there is evil.” It does little to demonstrate that evil is egregious. If I as an individual were going through extreme suffering, then evil would seem egregious to me. But it is not apparent that it is egregious on the whole once compared with all the people who aren’t in extreme suffering. Moreover, if a religion like Christianity is true, the suffering I face here no matter how terrible is nothing compared to the eternal reward that awaits.\nClick here to see the claims underneath.\n ']"
21,"If there are fewer guns in circulation, it is more difficult for one to fall into the wrong hands.Without background checks and gun regulations in place, individuals suffering from severe mental illness can easily acquire deadly weapons.",['fallacy of relevance'],"[' 5\nIn the US, only 4% of all violence is due to those with a diagnosed mental illness, meaning 96% of violence has nothing to do with mental illness.\nClick here to see the claims underneath.\n ']",[' 3\nPassing a mental health evaluation indicates a reduced likelihood of harming oneself or others.']
22,Jesus proved His claims to deity by rising from the dead.So did Osiris.,['fallacy of relevance'],[nan],"[' Bayesian analysis requires one to consider prior probabilities and likelihood ratios (i.e. true positives to false positives on the evidence). Therefore cases of claimed resurrection that turned out to be false is relevant information, and not red herrings.\nClick here to see the claims underneath.\n  2\nThe existence of other gods undermines monotheism, but any standard of evidence lax enough to permit Yahweh or a divine Jesus also permits many other gods.']"
23,"God exists.Having no proof of God's nonexistence, at least his existence cannot be dismissed as a clear false.",['fallacy of relevance'],[nan],[nan]
24,"Monarchies are costly.Unlike any other citizen, monarchs are often exempted from paying taxes.",['fallacy of relevance'],[nan],[nan]
25,"Overall, it has led to the deaths of 100 million people in the last 100 years.That is awful but compare that to the numbers that capitalism has killed.",['fallacy of relevance'],[nan],[nan]
26,"Genetic enhancement violates human dignity.Discrimination based on genetic differences, such as racism or prejudices against those born with genetic diseases, represents a worse violation of human dignity than does the genetic enhancement of humans.",['fallacy of relevance'],[nan],[nan]
27,"[Latter-day Saints] Besides loving God and loving others, the purpose of life is to learn and grow through experiences only found in mortality, both pleasant and painful.[Sexism in the LDS church] Women and men are not treated as equals within the LDS church. This implies that women are not afforded equal opportunity to a purposeful life.",['fallacy of relevance'],[nan],[nan]
28,Both Covid-19 and the flu are most contagious when people are symptomatic.Covid-19 is significantly more contagious even if it is only contagious only when people are symptomatic.,['fallacy of relevance'],[nan],[nan]
29,"All students would be given the same chances to succeed regardless of how rich their families are.A university is not supposed to be for everyone, but those who are academically able. A university is more expensive to run the more people enter University.",['fallacy of relevance'],[nan],"[' With widely available student loans, more difficult entry exams would have the effect of making college attendance more difficult, especially for low income groups who tend to have lower test scores.\nClick here to see the claims underneath.\n ']"
30,"Given a universe that includes evil and other forms of suffering, it is more plausible to imagine that there is no creator than that there is a good creator.The 1000's and variety of deities that have been conceived by civilizations throughout human history would suggest that supreme creators are a human made and not divine entity.",['fallacy of relevance'],[nan],[nan]
31,"Evil can be defined as inflicting unwanted or unnecessary pain, injury, or suffering in another human being. Given a universe that includes evil and other forms of suffering, it is more plausible to imagine that there is no creator than that there is a good creator.The 1000's and variety of deities that have been conceived by civilizations throughout human history would suggest that supreme creators are a human made and not divine entity.",['fallacy of relevance'],[nan],[nan]
32,"If God were omnipotent, omniscient, and omnibenevolent, then evil would not exist.If the God of Classical Theism created another perfect being, that being would also be God. This would be impossible since there cannot be two Supreme Beings. Therefore any created being must be less perfect.",['fallacy of relevance'],[nan],[nan]
33,"If God were omnipotent, omniscient, and omnibenevolent, then it should be logically impossible for evil to exist. Since there is evil, there are logical, deductive grounds to reject the existence of God.If the God of Classical Theism created another perfect being, that being would also be God. This would be impossible since there cannot be two Supreme Beings. Therefore any created being must be less perfect.",['fallacy of relevance'],[nan],[nan]
34,Communism Is Viable in the USA.Communism has not been shown to be viable anywhere.,['fallacy of relevance'],[nan],[nan]
35,"Churches are businesses that make money.Universities pay no taxes on television revenue and corporate sponsorships for college sports, a multi-billion dollar industry (link).",['fallacy of relevance'],[nan],[nan]
36,"The 'Leave' campaign has been subject to heavy criticism of their dealings in the lead-up to the election.Claims of the Leave campaign, most infamously the 350m/week claim, have been found to be factually inaccurate.

UK Statistics Authority statement on the use of official statistics on contributions to the European Union",['fallacy of relevance'],[nan],[nan]
37,"US companies should be prohibited from paying any employee more than 35 times the compensation of their lowest-paid employee.Salary caps would reduce income inequality, which society as a whole would benefit from.",['fallacy of relevance'],"[' 14\nThe actual problem with inequality is how many wealthy individuals spend their money: on lavish luxury. If this money would be invested or spent for public or social purposes, inequality would not be problematic.\nClick here to see the claims underneath.\n ']","[' Society benefits from reducing inequality to the extent that it reduces poverty. Assuming total income stays constant, reducing inequality raises the income of those on the low end while reducing income of those at the top.']"
38,"The pervasive existence in nature of Biological Exploitation, especially parasitism and predation causes immense suffering and death. An evil god could not have created a more vicious cycle if it tried: to live, animals are required to kill other life.The reintroduction of predatory wolves to Yellowstone National Park led to enormous benefits for the park. It certainly isn't clear that predatory behavior is inherently evil.",['fallacy of relevance'],[nan],"[' The creator could have made the system work differently. This can’t be denied. The question is, “could the system work without evil given that the designer has specific objectives?” It is far from apparent that this is the case. It is also far from apparent that the level of evil isn’t optimal to achieve said purposes. Again, one needs omniscience to know.\nClick here to see the claims underneath.\n ']"
39,"The Kalam cosmological argument (see wikipedia or SEP) demonstrates the universe requires a cause and the best candidate for this cause is God.God, with the qualities of Classical Theism, is not necessarily the root cause of the universe.",['fallacy of relevance'],[nan],[nan]
40,"Cosmological arguments support the existence of God.God, with the qualities of Classical Theism, is not necessarily the root cause of the universe.",['fallacy of relevance'],[nan],[nan]
41,"Video games can be useful to learn about history, society, economics or other aspects important to life.The Civilization series teaches about the names of cities, wonders and ancient civilizations and their leaders.",['fallacy of relevance'],[nan],[nan]
42,"The official justification for prohibition—with respect to evolving Christian ascetics—can be subsumed under four headings: animal behavior, unsavory associations, concepts of “nature,” and gender expectations.Stoic concepts of “natural” morality were already widespread in the Roman world before Christianity entered it.",['fallacy of relevance'],[nan],[nan]
43,A lot of protests started before the law was even made public.The protests started when politicians announced the plans to censor the internet. EU counterterrorism strategy,['fallacy of relevance'],[nan],[nan]
44,"Athletics should be separated by weight class or ability, not gender or sex, since this is a greater determining factor when it comes to athletic competitiveness.The biological distinctions between men and women are not sufficient to override the desires of the individual.",['fallacy of relevance'],[nan],[nan]
45,There should be an FBI investigation into the Kavanaugh allegationsThe Democrats should have released this information to the committee when it surfaced and deemed credible.,['fallacy of relevance'],[nan],[nan]
46,"Because of the existence of evil, there cannot be a monotheistic God (as traditionally conceived).God allows evil to exist so that humans can have free will and develop into moral people. In order to be morally good in a meaningful way, a person must have the possibility of choosing evil.",['fallacy of relevance'],"["" The concept of evil is a human construct. God doesn't need to be constrained to and judged by this definition (i.e. higher-plan argument).\nClick here to see the claims underneath.\n "", "" 1\nThe concept of evil is a human construct. God doesn't need to be constrained to and judged by this definition (i.e. higher-plan argument).\nClick here to see the claims underneath.\n ""]","[' Free will is a fundamental underpinning to the concept of moral good and evil. Without meaningful choice, there is no concept of making good or bad choices. As seen in the difference between a predator killing prey, and a human committing murder.\n Evil is not the same as pain. Natural disasters and diseases are painful events, but they are not immoral or wicked. It is another discussion whether a benevolent God would allow a world where we can experience pain.']"
47,Nuclear energy should be used to replace fossil fuels.The elimination of fossil fuels would bring a loss of jobs in the industry.,['fallacy of relevance'],[nan],[nan]
48,Eyewitnesses: There are credible witnesses who personally saw the plates from which Joseph Smith translated the Book of Mormon.The testimony of the witnesses to the metal plates from which James Strang claimed he translated The Book of the Law of the Lord is as credible as that of the eleven witnesses of the Book of Mormon.,['fallacy of relevance'],[nan],[nan]
49,The burden of proof for God's existence has not been met.The burden is not on the greater being to justify itself to the lesser being. If God exists you do not have the right to demand he submit to your authentication.,['fallacy of relevance'],[nan],[nan]
50,"The Old Testament describes Earth not as a sphere, but as a circular platform covered by a dome.Flat Earth cosmology is a medieval heresy/folk belief. Even during the middle ages, educated Christians knew Earth to be spherical, having access to Greek texts which included the findings of Erastosthenes",['fallacy of relevance'],[nan],[nan]
51,There should be an FBI investigation into the Kavanaugh allegationsThis is a delay tactic by the Democrats to push his hearing past the midterm elections.,['fallacy of relevance'],[nan],[nan]
52,"The burden of proof for God's existence has not been met.Having no proof of God's nonexistence, at least his existence cannot be dismissed as a clear false.",['fallacy of relevance'],[nan],[nan]
53,"Bernie Sanders (dropped out).For 40 years, Bernie Sanders has stuck with his original message, and fought for it to be in the national conversation. He continues to lead the democratic party with his unwavering platform.",['fallacy of relevance'],[nan],[nan]
54,"The article specifically admits that ""Most of The Bell Curve does not explicitly address the relationship between race, genes, and IQ—as Murray has taken great pains to point out."" It tries to build a guilt-by-association case by pointing out that some of his sources were printed in a magazine that was known in the 60's and 70's for promoting racism and eugenics.Charles Darwin believed there were many races and that his theory of evolution backed up the caucasian race being superior, as laid out in ""On the Origin of Species by Means of Natural Selection, or the Preservation of Favoured Races in the Struggle for Life,"" and more in depth in ""The Descent of Man,"" but no one would reasonably claim that every evolutionist practicing today is tainted by using any of Darwin's work as a source.",['fallacy of relevance'],"["" Even if the contrast between Murray's reliance on scientifically discredited racist sources were analogous to Darwin's argument, trying to use Darwin's esteem in the scientific community to defend the legitimacy of Murray would still amount to an instance of thetu quoque fallacy.\nClick here to see the claims underneath.\n ""]","["" Darwin's books (especially the Descent of Man) were specifically racist - not just his personal views outside of his scientific work. Conversely, Murray has been criticized not for pulling data specifically from a racist study or source nor for specific racist sayings himself, but because several studies he pulled from were from a journal that has had racist connections and motivations in the past.""]"
55,"Slavery has been a part of almost every culture's past. Establishing a clear line on what is acceptable in history is difficult as both sides always have positive and bad elements on their legacies.By this logic, Ancient Greek and Roman monuments that many tourists visit everyday should not be opened to the public as those civilizations supported slavery.",['fallacy of relevance'],[nan],[nan]
56,"God allows evil to exist so that humans can have free will and develop into moral people. In order to be morally good in a meaningful way, a person must have the possibility of choosing evil.The idea that free-will explains evil within a theistic universe, to me is cart before the horse. It is a backwards way of explaining evil to fit a belief in god. Occam’s razor to me says evil (or pain and struggle) exists. There is no need to attribute its existence to any sort of all powerful being. That just adds mental gymnastics to a base truth.",['fallacy of relevance'],[nan],[nan]
57,"Another example of this is the slogan used by identity politics proponents: “The future is female.” The desire stated in this slogan is for a future led by females as opposed to one led by a roughly equal mix of genders. If a past led exclusively by men was oppressive to women, then a future led exclusively by women is oppressive to men.This is a false equivalence that assumes that women will automatically be as oppressive as men, when women clearly do not behave as aggressively or violently as men.",['fallacy of relevance'],[nan],"['   Everyone is capable of some sort of aggression, but this claim does not demonstrate an equivalence.\nClick here to see the claims underneath.\n ']"
58,"All drugs should be legalised.Drugs pose a significant threat to the mental and physical health of humans; therefore, the legalization of (and easier access to) these substances negatively affects both individuals and society.","['fallacy of extension', 'fallacy of relevance']","["" 1\nIf you have thesis A and B, it's not enough to say that thesis A has some issues therefore we should apply thesis B. You have to point out that thesis B is actually better than thesis B. (If you have two options how to have trip to London (option A and B) it's not enough to claim that if trips A cost 50 dollars it's too much therefore we should choose trip B. It may very well be the case that B costs even more, so what we actually have to prove is whether thesis B is better than thesis A.)\nClick here to see the claims underneath.\n "", nan]",[nan]
59,"God would only make the best of all possible worlds, and the best of all possible worlds lacks evil.The best possible world may still logically require the existence of evil and suffering because God must follow the laws of logic.",['fallacy of relevance'],[nan],[nan]
60,"""1 in 4 nurses are obese"" so they are clearly not already setting a good example on recommended health practices.The general public in the same area have similar statistics to these health care workers, therefore nurses follow health advice no better than the population so cannot be used to set a ""good example"" just because they're health providers.",['fallacy of relevance'],[nan],[nan]
61,"Banning one type of weapon ignores the underlying causes of violence.  It doesn't help anyone to trade gun deaths for bomb deaths.Regardless of the weapon type, as long as ammunition isn't regulated mass casualties will remain.",['fallacy of relevance'],[nan],[nan]
62,"Licensing and regulations have proven to be an ineffective method of reducing crime. Gun control would likely be no different.Guns sold on the black market are likely to give higher profits to criminals, gangs, cartels, and the mafia which traffic these products.",['fallacy of relevance'],[nan],[nan]
63,"Removing or renaming Confederate memorials/monuments presents a slippery slope wherein eventually any memorial linked to the colonial era or other problematic legacies could be considered representative of oppression, and thus deserving of eradication.Slavery has been a part of almost every culture's past. Establishing a clear line on what is acceptable in history is difficult as both sides always have positive and bad elements on their legacies.",['fallacy of relevance'],[nan],"[' 1\nMen fighting a bloody war against the government of the United States to defend slavery may be how some remember them, but the controversy exists because there is broad disagreement among others who do not remember them this way.\nClick here to see the claims underneath.\n  7\nIn every controversial issue, there are at least two views that could be considered valid. Instead of the one group removing an unpopular view, they are free to express their competing views.\n Memorials and other artifacts embody and represent Southern values and culture.']"
64,"Leibnizian Cosmological Argument (by Dr. William Ln. Craig)
1. Everything that exists has an explanation of its existence, either in the necessity of its own nature or in an external cause.
2. If the universe has an explanation of its existence, that explanation is God. 
3. The universe exists. 
4. Therefore, the universe has an explanation of its existence. 
5. Therefore, the explanation of the existence of the universe is God.P1: It is self-evident that everything that exists has an explanation of its existence, either in the necessity of its own nature or in an external cause. Imagine that you’re hiking through the woods and you come across a translucent ball lying on the forest floor. No one would take seriously the suggestion that the ball existed there with literally no explanation.",['fallacy of relevance'],[nan],[nan]
65,"Faith in the Judeo-Christian religion has historically been an inspiration for science.Given the majority status of religion among the people in these societies, whether an advancement would've come about with or without religion is hard to determine. The article simply states that members of those religions made scientific advancements.",['false causality'],[nan],[nan]
66,"The argument does not argue if there is no god, people would disagree. It argues that if a singular god claim did exist, that religion would be uniform on a global scale. Instead, various religions have existed, with widely varying claims, all separated by geographic distance and time, as one would expect from a tribal human construction.The line of thinking that says tribal thinking would create different religions, and we see different religions, therefore religions are nothing but tribal creations is nothing more than affirming the consequent, and is fallacious reasoning.",['affirming the consequent'],[nan],[nan]
67,"Black students are more likely to be suspended for the same behavior.This does not mean that punishment was not justified, nor does it mean that whites children's misbehavior was overlooked.",['affirming the consequent'],[nan],[nan]
68,"One atheistic view of beauty is fitness of reproduction via natural selection. Arguing reductio ad adsurdum, if an organism does not display reproductively desirable traits, their beauty is absent. Many theistic views of beauty are based on qualities deeper than reproductive traits, such as Christianity's view of Imago Dei, in which humans are beautiful intrinsically, as being created in the image of God.Atheists have no belief in a God; they do not believe they are made in anyone's image. All the evidence shows us that we are a species shaped by evolutionary processes and not created. It is hugely liberating to consider we are not anyone's ""creature"".",['affirming the consequent'],[nan],[' This does not meaningfully challenge the fact of evolution\nClick here to see the claims underneath.\n ']
69,"There are sound arguments for God.According to William Ln. Craig’s Moral Argument for God’s Existence, if God does not exist, objective moral values and duties do not exist. Since objective moral values and duties do exist, it follows that God has to exist as well.",['affirming the consequent'],[nan],[' The actual form of the argument is A—>B / -B / therefore -A. This is modus tollens.\nClick here to see the claims underneath.\n ']
70,The existence of God cannot be disproven.A true statement can never be disproved.,['affirming the consequent'],[nan],[nan]
71,"There are no philosophical arguments that result in the conclusion of a God. All current models rely on logical fallacies, and are constantly reworded over and over again in order to seem like there are new metaphysical arguments being produced.No argument is free from logical fallacies. To demand total air-tight logic would be to say that we cannot prove anything.",['affirming the consequent'],[nan],[nan]
72,Cosmological arguments support the existence of God.God is defined as all knowing and all powerful by classical definition. We live in a universe composed solely of energy and information. Therefore God is the universe. The universe exists. Therefore God exists.,['affirming the consequent'],[nan],[nan]
73,God exists.God is defined as all knowing and all powerful by classical definition. We live in a universe composed solely of energy and information. Therefore God is the universe. The universe exists. Therefore God exists.,['affirming the consequent'],[nan],[nan]
74,"Violence cannot be right, because it's almost always an expression of the ego, thus using violence means you're succumbing to your emotions instead of listening to reason.Only the weak make use of violence.",['affirming the consequent'],[nan],[nan]
75,"To argue... ""if there was no God, people would not agree on what to believe about God... and in fact we see people not agreeing, therefore there is no God..."" is nothing more than affirming the consequent. It is unscientific and doesn't justify anything.The argument does not argue if there is no god, people would disagree. It argues that if a singular god claim did exist, that religion would be uniform on a global scale. Instead, various religions have existed, with widely varying claims, all separated by geographic distance and time, as one would expect from a tribal human construction.",['affirming the consequent'],[nan],"[' Affirming the consequent requires that the opposite conclusion is made of a true statement. As the first statement is not the opposite of the conclusion, this is not affirming the consequent.\nClick here to see the claims underneath.\n ']"
76,"There isn't any reason a priori to expect the world to be fundamentally beautiful - however, if it was created by a perfect God, it would almost certainly be. As such, the fact that we exist in a fundamentally beautiful universe counts as evidence for a perfect Creator.The Likelihood Principle states that if some observation O is likely under hypothesis A and less likely under hypothesis B, then O counts as evidence for A over B.

The existence of a fundamentally beautiful universe (O) is likely assuming a perfect creator (A), and less likely assuming the absence of such a creator (B).",['affirming the consequent'],[nan],[nan]
77,"The Creation accounts in Genesis do not support the conclusion that God created human beings to be forever paired and are structured as heteronormative. Instead, they do not so much reflect a divinely ordained sex/gender system (Gen 1) as later-humankind constructed it (Gen 2-9).Homosexuality, as in sexual attraction to the same sex, is not considered a sin in itself. It's the way God made one, and since God is infallible, it can not be a sin.",['affirming the consequent'],[nan],[nan]
78,The Book of Mormon is an authentic ancient text.Linguistics: The writing in the Book of Mormon is consistent with ancient Hebrew and Egyptian writing and language.,['affirming the consequent'],[nan],[' The parent provides evidence. On its own it does not purport to be proof.\nClick here to see the claims underneath.\n ']
79,Scientific observation appears to indicate that religion is entirely a human construction.Creation of various gods and faiths across the world is indicative that religious thought is inherent to the human brain seeking explanation and a form social behavior. The fact that they do not align with each other is indicative that such supernatural entities aren't actually involved in the world.,['affirming the consequent'],"[' It could be that some (but not necessarily all) are cleverly deceived about what to believe about God and therefore disagree. This deception could be caused by a devil and demons, which would align with the doctrine of many religions.\nClick here to see the claims underneath.\n ']","[' Majority of theistic claims assert there is only one actual god (or set of gods), that they desire worship and that they possess great supernatural power. It does not follow if such a god(s) desired worship, that they would restrict themselves to an individual region instead of providing displays of divinity in several geographic locations.\n The argument does not argue if there is no god, people would disagree. It argues that if a singular god claim did exist, that religion would be uniform on a global scale. Instead, various religions have existed, with widely varying claims, all separated by geographic distance and time, as one would expect from a tribal human construction.']"
80,"""Que el Gobierno no presente la reforma pensional. "" Falta una contrapropuesta que de sostenibilidad fiscal al sistema pensional.La reforma es necesaria, es cierto que hay que hacerla, lo que angustia es los posibles ""micos"" que el nuevo sistema introduzca.",['slippery slope'],[nan],[nan]
81,"The claim assumes erasing the history of slavery could be accomplished solely by taking down public monuments. The slippery slope would necessarily include the banning of history books, documentaries, oral traditions, etc., which is highly improbable.A trend of banning or editing history books, popular books, and oral traditions has already emerged.",['slippery slope'],[nan],[nan]
82,"Allowing hate speech is what lets us find and eliminate the troublemakers, and maybe even convert them. To ban hate speech is to make it more likely for misguided people to become malicious people and for malicious people to retaliate violently. We'd rather hear hate speech than see hate crimesThis is a slippery slope argument, the connection between banning hate speech and malicious people retaliating violently is not clear.",['slippery slope'],[nan],[nan]
83,"Legalizing cannabis will free up space in courtrooms and prisons.The space-saving argument has no place in determining policy, or else this risks using the same argument to legalise any crime.",['slippery slope'],[nan],[nan]
84,"At times, intelligence is a by-product of education. Poor individuals have less access to education.This line of reasoning is discriminatory since the implication of its logical conclusion would be to only allow rich or well-educated people access to freedom of speech.",['slippery slope'],[nan],[' The slippery slope is not necessarily a fallacy and using it to dismiss an argument is a Thought-terminating cliché.\nClick here to see the claims underneath.\n ']
85,"We ought to align our definitions of sex in useful ways that help define phenomena and problems so we can clearly see the path forward toward treating one another better.This notion strays dangerously into postmodernist relativism. If we continue down this path, then words and concepts lose all meaning, as they are diluted by conflicting and ever-changing definitions.",['slippery slope'],[nan],[nan]
86,"This is a slippery slope argument, a logical fallacy unless it is substantiated with evidence to support that it is very likely that making hate speech illegal will lead to arbitrary curbs.US history has created a basis for slippery slope argument. Examples include gun legislation and abortion. In those circumstances, the cases presiding (2nd amendment judgments as a prime example) decided that limitation was allowed, and since then more laws have been allowed due to this. Under the circumstances, limiting free speech based on ""Hate"" enables subjective qualifications. Subjectivity would be the mechanism for the slippery slope.","['slippery slope', 'intentional']",[nan],"[' The suggestion of cherry picking is disingenuous as the parent argument defined the mobility and viability of the slippery slope argument. It did not say it was certain to happen, but it instead pointed to the mechanism which was the premise of the grandfather argument. There was no cherry picking.\nClick here to see the claims underneath.\n ']"
87,"New pronouns are too vague, too confusing or incorrect.If everyone was allowed to choose their pronouns out of an infinite list of posibilities, the simplest correspondence would be an impossible task.",['slippery slope'],[nan],"[' 4\nThe ""slippery slope"" is not always a fallacy.\nClick here to see the claims underneath.\n ']"
88,"We need everyone to be on same page with gun rights. Current pro-gun organizations attempt to keep gun regulations opaque and difficult to enforce.Current gun control organizations want to whittle away at gun rights until nothing is left.  What they want to ban changes over time from Saturday night specials, to handguns, to some rifles (so called assault rifles) academic.oup.com nraila.org object.cato.orgHandgun control changed their name after one of their sponsors was caught with an illegal gun they are now http://www.bradycampaign.org/",['slippery slope'],[nan],[nan]
89,"If everyone was allowed to choose their pronouns out of an infinite list of posibilities, the simplest correspondence would be an impossible task.The ""slippery slope"" is a logical fallacy.",['slippery slope'],"[' Compelled speech laws could make future speech restrictions easier to enact and harder to avoid, since certain speech would already be considered unlawful and counter-arguments might be illegal to express.\nClick here to see the claims underneath.\n ']",[nan]
90,"It is difficult to draw a clear line showing at which point an individual or organisation has proven to be too offensive to be allowed a platform to speak. This makes it very difficult to create an effective no-platforming policy that is not arbitrary.This is basically a slippery slope argument, a common fallacy.",['slippery slope'],[nan],[nan]
91,It is okay to punch a Nazi.Legitimising political violence sets a bad precedent that could enable further political violence.,['slippery slope'],"["" Individuals who seek to limit women's reproductive rights deserve to be punched.\nClick here to see the claims underneath.\n  People who self identify as communists deserve to be punched.\n Individuals who spread racism, sexism and homophobia, regardless if they identify as a Nazi or not, deserve to be punched."", nan]","[' The spread of violence in society will result in a more polarized and toxic political environment.', nan]"
