,Unnamed: 0,text,labels,masked_articles
10,869,"God's existence can be understood by rationality.Hence, it is true that As all the man made Gods are of the' irrational, supernatural occult' they are the opposite to rationality and therefore could not be understood or explained by any process of logic.","['Logical and irrational ideal worlds would not run over each others. Irrational worlds as being dream like, would not be able to gather memory and information by their nature. They cannot then have a purpose and reach it. The logical world could be attacked by an irrational invasive force but will rationalise it away and vice versa. This is paradoxical, as in the false analogy of the sword that cuts everything versus the shield that blocks everything. There are no winners or losers.']","MSK<0> can be MSK<1> by MSK<3> , MSK<0> is true that As all the man made MSK<2> are of the ' irrational , supernatural occult ' MSK<2> are the opposite to MSK<3> and therefore could not be MSK<1> or explained by any process of logic . "
11,326,"Even if Christianity were proven to be true, it would not be moral to follow it. If the God of the Bible is accurately depicted in the text, it would be morally necessary to oppose such a being.Hence, it is not true that If Christianity were proven true, then all things including all morals and the true ""right and wrong"" would have been created by the Christian God. So it would be morally right to follow God's every command.","['This argument implicitly redefines the word ""moral"" as ""coming from God"" instead of ""good for others"", so it is a fallacy of equivocation.']","Even if MSK<0> were MSK<1> to be MSK<2> , MSK<0> would not be MSK<3> to MSK<4> MSK<0> . If the MSK<5> of the Bible is accurately depicted in the text , MSK<0> would be MSK<6> necessary to oppose such a being.Hence , MSK<0> is not MSK<2> that If MSK<0> were MSK<1> MSK<2> , then all things including all MSK<3> and the MSK<2> "" MSK<7> and wrong "" would have been created by the Christian MSK<5> . So it would be MSK<6> MSK<7> to MSK<4> MSK<5> 's every command . "
12,95,"If torture is banned, then there will be no torture.Hence, it is not true that Although 144 countries have ratified the Convention against Torture, a 2007 report by Amnesty International noted cases of state-sponsored torture or other inhumane treatment in 102 of the 153 countries included.","['The argument implies that covert and completely illegal cases of torture somehow refute the validity of laws that are used in 144 countries around the world. What this argument really suggests is that the misuse of torture is overwhelming, that torture should be banned worldwide for good and that it should be consistently enforced without exceptions.']","If MSK<0> is banned , then there will be no MSK<2> , MSK<0> is not true that Although MSK<1> have ratified the Convention against MSK<2> , a 2007 report by Amnesty International noted cases of state - sponsored MSK<2> or other inhumane treatment in 102 of MSK<1> included . "
13,284,"Being ""outdated"" isn't a negative in itself. Some old institutions are useful.Hence, it is true that Dismissing monarchy as ""outdated"" is an example of the appeal to novelty fallacy.",['The appeal to novelty fallacy exists where someone claims something is good exclusively because it is new. This is different from saying that something is bad because it is outdated \\(as opposed to old\\).'],"Being "" MSK<0> "" is n't a negative in MSK<1> . Some old institutions are useful.Hence , MSK<1> is true that Dismissing monarchy as "" MSK<0> "" is an example of the appeal to novelty fallacy . "
14,447,"Many physical constants appear finely tuned for scientific discovery.Hence, it is true that The laws of physics \(and nature in general\) can be described by mathematics.","['The Incompleteness of Mathematics and many other internal contradictions suggests that it is merely a descriptive language created by us humans, not an intrinsic nature of reality.']","Many physical constants appear finely tuned for scientific discovery.Hence , it is true that The laws of physics \ ( and nature in general \ ) can be described by mathematics . "
15,584,"Internet companies are wrong in denying services to white supremacists.Hence, it is not true that Facebook and Twitter are legally obliged to delete accounts affiliated with terrorism.","['This is an appeal to authority due to its reliance exclusively on current law rather than a merit- and evidence-based argument. If moral judgments were reliant exclusively upon current law as it is purported to be in the context of this claim, nothing would ever change in society. As such, this is an invalid claim.']","Internet companies are wrong in denying services to white supremacists.Hence , it is not true that Facebook and Twitter are legally obliged to delete accounts affiliated with terrorism . "
16,739,"Banning religious traditions alienates religious people and the rest of the society.Hence, it is not true that There has to be a limit to this. Some religions in the past and even today include things we consider unacceptable now, like human sacrifice, witch hunts, and slavery.",['This is a straw-man claim. The equivocation of circumcision and murder is an extreme caricature of the arguments seeking to support circumcision. Religious rituals that violate the law are prosecutable. Circumcision is not a criminal act.'],"Banning MSK<0> traditions alienates MSK<0> people and the rest of the society.Hence , it is not true that There has to be a limit to this . Some MSK<0> in the past and even today include things we consider unacceptable now , like human sacrifice , witch hunts , and slavery . "
17,580,"The absence of a welfare state is immoral.Hence, it is not true that To call the absence of something immoral is to raise the requirement of positive obligations. Positive obligations are most infamously contained in the Marxist claim ""from each according to his ability, to each according to his need,"" which have led to the greatest atrocities in the history of the world.",['The slope is not slippery. Most countries that have welfare states are not Marxist dictatorships.'],"MSK<0> is MSK<5> , MSK<0> is not true that To call the absence of something MSK<5> is to raise the requirement of MSK<2> . MSK<2> are most infamously contained in the Marxist claim "" from each MSK<3> to MSK<4> ability , to each MSK<3> to MSK<4> need , "" which have led to the greatest atrocities in the history of the world . "
18,155,"Gender stereotyping can be damaging to brands. Challenging traditional gender boundaries will create more effective advertisements and prove beneficial to companies.Hence, it is true that Advertisements that objectify women have a significant negative effect on a brand's reputation and consumers’ likelihood of making a purchase.","['The notion that sexual objectification does not sell is wishful thinking, given the unprecedented increase in the consumption of pornography.']","MSK<0> stereotyping can be damaging to MSK<1> . Challenging traditional MSK<0> boundaries will create more effective MSK<2> and prove beneficial to companies.Hence , it is true that MSK<2> that objectify women have a significant negative effect on a MSK<1> 's reputation and consumers ’ likelihood of making a purchase . "
19,859,"Running ad-blockers is equivalent to freeloading off of media publications because it blocks their revenue stream.Hence, it is not true that If websites are struggling financially because of ad blockers, they can just force users to disable their ad blocker. So if ad blockers are available, it must be that they do not cause considerable harm to the website, and therefore using them is not ""freeloading"".","[""It's a strawman argumentation. The existence of ad-blockers is not a proof that they do not cause harm.""]","MSK<0> is equivalent to MSK<6> off of media publications because MSK<0> blocks MSK<1> revenue stream.Hence , MSK<0> is not true that If MSK<2> are struggling financially because of MSK<4> , MSK<1> can just force users to disable MSK<1> MSK<4> . So if MSK<5> are available , MSK<0> must be that MSK<5> do not cause considerable harm to the MSK<2> , and therefore using MSK<5> is not "" MSK<6> "" . "
20,812,"Performative activism on social media is harmful.Hence, it is not true that Activism on social media is not performative or harmful because it still expresses solidarity for the cause in question.","['Social media outrage culture does not address the causal issues in society, but rather addresses the false narratives being portrayed by those who stand to profit from controversy.']","MSK<0> is MSK<2> , MSK<0> is not true that MSK<1> is not performative or MSK<2> because MSK<1> still expresses solidarity for the cause in question . "
21,602,"Religious and theological arguments provide strong evidence of the existence of God.Hence, it is true that Holy Scripture offers proofs and evidence for the existence of God.","['All arguments for the existence of God based on holy Scripture are circular, as they first require showing the scripture is Holy, which assumes that there is a God.']","MSK<2> and MSK<2> arguments provide strong MSK<0> of MSK<1> , it is true that Holy Scripture offers proofs and MSK<0> for MSK<1> . "
22,565,"Lack of respect for sovereigntyHence, it is not true that Mexico has previously permitted the USA to use drones in their country. It is likely that will be amenable to the continued use of these drones.","[""Using drones in Mexico after gaining approval is a distinct issue than using drones outside of one's sovereign territory, without the approval of the internationally recognised ruling apparatus. Conflating the two is thus a false equivalence.""]","Lack of respect for sovereigntyHence , it is not true that Mexico has previously permitted the USA to MSK<0> MSK<1> in their country . It is likely that will be amenable to the continued MSK<0> of MSK<1> . "
23,554,"It was a good choice simply because that's what people voted for.Hence, it is not true that Statistically speaking, Pro-Brexit posts are significantly more likely to contain spelling and grammatical errors; inferring a trend towards lower literacy among proponents of this perspective.","['This is an ad-hominem attack, so cannot be taken in itself as evidence for or against the pro-Brexit argument.']","MSK<0> was a good choice simply because that 's what people voted for.Hence , MSK<0> is not true that Statistically speaking , Pro-Brexit posts are significantly more likely to contain spelling and grammatical errors ; inferring a trend towards lower literacy among proponents of MSK<0> . "
24,874,"In 2010 the German Pirate Party tried Liquid Democracy but it was not successful.Hence, it is not true that This test was technically sophisticated and highly idealistic undertaking but the design was poor. To encourage participation, usability and sophistication have to be balanced. Thus, this failure need not be a total failure of liquid democracy, but a failure of their take on it.","['This is a ""no true scotsman"" fallacy. By this mistaken logic, communism has ""not"" failed in the Soviet Union because it was ""not true"" communism. Same in North Korea, Cuba, Venezuela, and all failed communist countries.']","In 2010 MSK<0> tried MSK<2> but MSK<0> was not successful.Hence , MSK<0> is not true that This test was technically sophisticated and highly idealistic undertaking but the design was poor . To encourage participation , usability and sophistication have to be balanced . Thus , MSK<3> need not be a total MSK<4> of MSK<2> , but a MSK<4> of their take on MSK<3> . "
25,1173,"Merkel has failed to adequately address environmental issues.Hence, it is not true that Merkel has prioritised the banning of single-use plastics(Germany is banning the sale of single-use plastic straws, cotton buds and food containers, bringing it in line with a European Union directive intended to reduce the amount of plastic garbage that pollutes the environment.\n\nThe Cabinet agreed Wednesday to end the sale of plastics including single-use cutlery, plates, stirring sticks and balloon holders, as well as polystyrene cups and boxes by July 3, 2021.), one of the most significant environmental threats.","[""Merkel's ban on single-use plastics is bringing Germany in line with a broader EU directive(Germany is banning the sale of single-use plastic straws, cotton buds and food containers, bringing it in line with a European Union directive intended to reduce the amount of plastic garbage that pollutes the environment.). Merkel does not deserve the credit for this initiative."", 'Merkel has encouraged German citizens to embrace the plastic production ban(She urged Germany\'s 83 million residents to embrace from July the EU\'s ban on the production in Europe of single-use plastics such as straws and cotton buds.\\n\\n""Doing without them will be easy and will greatly relieve the environment,"" Merkel said.\\n\\nThe chancellor also highlighted species depletion and losses in biological diversity.\\n\\n""Up to a million species are threatened with extinction, many of them already in the coming decades,"" she said. ""We urgently need to stop this development."").']","MSK<0> has failed to adequately address MSK<1> issues.Hence , it is not true that MSK<0> has prioritised the MSK<6> of MSK<2> - MSK<3> MSK<4> ( Germany is MSK<6> MSK<5> , bringing MSK<5> in line with a European Union directive intended to reduce the amount of MSK<4> garbage that pollutes the MSK<1> . \ n \ nThe Cabinet agreed Wednesday to end the sale of MSK<4> including MSK<2> - MSK<3> cutlery , plates , stirring sticks and balloon holders , as well as polystyrene cups and boxes by July 3 , 2021 . ) , one of the most significant MSK<1> threats . "
26,702,"The non-existence of God is consistent with empirical evidence.Hence, it is true that There is an absence of empirical evidence proving the existence of God.","['""An absence of evidence is not evidence of absence""; it is a non sequitur to argue that a lack of evidence necessarily implies a claim is not true.']","MSK<0> is consistent with MSK<2> , MSK<0> is true that There is an absence of MSK<2> proving MSK<0> . "
27,1069,"Some studies have found benefits for homeopathy.Hence, it is true that There are many homeopathic options that work and are scientifically proven, the issue is the pharmaceutical companies spend billions making pills and then use marketing power to spread claimed benefits while blushing over negative side effects. If the insurance companies opened up options to use homeopathic resources, the ones that work would quickly surface while the snake oil options would also be exposed by open market selection and public reviews of the results.","['That is called ""fallacy ad hominem"", meaning that you pose that homeopathy is not included in the public system because there are economic interests behind it, thus considering that action unreasoned.']","Some studies have found MSK<0> for MSK<5> , it is true that There are MSK<1> , the issue is MSK<2> and then MSK<3> marketing power to spread claimed MSK<0> while blushing over negative side effects . If MSK<2> MSK<4> up options to MSK<3> MSK<5> resources , the ones that work would quickly surface while MSK<1> would also be exposed by MSK<4> market selection and public reviews of the results . "
28,140,"The Quran is the only scripture instructing of and recognizing rigor methodologically.Hence, it is true that The Quran goes further to ask for evidence even about claims of the unseen and of metaphysics.","['Allah says: \\(And they say, ""None will enter Paradise except one who is a Jew or a Christian."" That is \\merely\\ their wishful thinking. Say, ""Produce your proof, if you should be truthful.""\\) — Quran 2:111']","MSK<0> is the only scripture instructing of and recognizing rigor methodologically.Hence , MSK<0> is true that MSK<0> goes further to ask for evidence even about claims of the unseen and of metaphysics . "
29,590,"Holy Scripture offers proofs and evidence for the existence of God.Hence, it is true that The Book of Mormon provides reasonable evidence of the existence of God.",['The Book of Mormon provides claims of the existence of a god. The claims themselves cannot be the evidence as that is circular reasoning.'],"MSK<0> offers proofs and MSK<1> for MSK<2> , MSK<0> is true that The Book of Mormon provides reasonable MSK<1> of MSK<2> . "
30,1002,"Eating meat is wrong.Hence, it is true that A vegetarian diet is healthier than an omnivorous diet.","['The argument is a false dilemma as there are many vegetarian diets and many omnivorous diets. While there are common diets of each type that are unhealthy, only the optimal diet could be relevant in an argument, and that diet would contain at least some meat.']","MSK<0> is wrong.Hence , MSK<0> is true that A vegetarian MSK<1> is healthier than an omnivorous MSK<1> . "
31,795,"New Atheism has been a failure.Hence, it is not true that New Atheists have been tremendously successful in increasing the number of atheists across the world.","['Atheists are a diverse group(Within the ranks of the unaffiliated, divisions run deep. Some are avowed atheists. Others are agnostic. And many more simply don’t care to state a preference. Organized around skepticism toward organizations and united by a common belief that they do not believe, nones as a group are just as internally complex as many religions. And as with religions, these internal contradictions could keep new followers away.). It is difficult to attribute their lack of faith to a single cause.']","MSK<0> has been a failure.Hence , MSK<0> is not true that New MSK<1> have been tremendously successful in increasing the number of MSK<1> across the world . "
32,988,"1 The Supernatural does not exist.""God"" is defined as a Supernatural being.Hence, it is not true that If the Supernatural does not exist, then Black Holes, singularities, Dark Matter, Dark Energy, consciousness, feelings, emotions, thinking process, do not exist either, as they cannot be defined or explained in the natural.","['This is a non sequitur. Some of those things have already been at least partially explained but all of them have the potential to be explained using natural means whereas the supernatural by definition cannot be explained in the natural. Simply because we cannot explain things yet does not mean we never will, this is the god of the gaps fallacy.']","1 MSK<0> does not MSK<1> . "" God "" is MSK<2> as a MSK<3> being.Hence , MSK<0> is not true that If the MSK<3> does not MSK<1> , then Black Holes , singularities , MSK<4> Matter , MSK<4> Energy , consciousness , feelings , emotions , thinking process , do not MSK<1> either , as they can not be MSK<2> or explained in the natural . "
33,431,"Objective morality exists across cultures; there are some actions that are universally taboo(However, some anthropologists have argued that a few behaviors are universally taboo. These may include incest, cannibalism, and killing one’s parents. The psychiatrist Sigmund Freud argued these were likely universal taboos.).Hence, it is true that Morality is actually extremely objective. Most people know the difference between right and wrong. It's just a matter of whether they care or not.","['What ""most people"" \\(think they\\) ""know"" has no relation to objectivity; the very statement admits other perspectives exist, with no reason they should be any less valid, it\'s a non sequitur.']","MSK<0> morality exists across cultures ; there are some actions that are MSK<2> ( However , MSK<3> have MSK<4> that a few behaviors are MSK<2> . MSK<3> may include incest , cannibalism , and killing one ’s parents . The psychiatrist Sigmund Freud MSK<4> MSK<3> were likely MSK<2> . ) . Hence , it is true that MSK<5> is actually extremely MSK<0> . MSK<6> know the difference between right and wrong . MSK<5> 's just a matter of whether MSK<6> care or not . "
34,253,"There are better alternatives to helping refugees than for high-income countries to take them in.Hence, it is true that High-income countries could pay lower-income countries that are geographically closer to the refugees' home countries to take in refugees.","['Populist movements in high-income countries are often strongly opposed(Around the world, extreme poverty has fallen, access to basic health care and education have risen, and deaths due to violence are at historic lows. Yet all is not well. Inequality within countries is rising, the number of forcibly displaced persons is at an all-time high, and climate change is exacerbating epidemics of drought, flood, migration, and disease.\\n\\nThese challenges require robust responses, but the political mood in the United States, the United Kingdom, and other wealthy Western countries has turned against spending on foreign aid. National interests, not global goals, seem the currency of the times. The win-win mindset inherent in U.S. President John F. Kennedy’s invocation that “a rising tide lifts all boats” is today challenged by a Trumpian zero-sum mindset that appeals to America Firsters, Brexiteers, and nationalist, xenophobic, populist parties across Europe.) to foreign aid policies, which suggests it may be difficult to pass such policies to aid refugees overseas.']","There are better alternatives to MSK<0> than for MSK<1> to take MSK<1> in.Hence , it is true that High - MSK<2> MSK<3> could pay lower - MSK<2> MSK<3> that are geographically closer to MSK<0> home MSK<3> to take in refugees . "
35,1029,"People in positions of authority should resign when accused of sexual assault.Hence, it is not true that False accusations of sexual assault could be used as a weapon to denigrate people.","['Just the threat of false accusations could possibly fall into the realm of blackmail. This could lead to tension, and ultimately mistrust, between people in positions of authority and the people under their authority.', ""When such an accusation arises, the person who made it is often faced with skepticism, disbelief and sometimes outright insults and threats. People are inclined to believe a person of authority first. An individual would take an unnecessarily high risk making a false sexual assault claim just to harm someone's reputation / career.""]","MSK<0> in positions of authority should resign when MSK<3> of MSK<2> , it is not true that False MSK<3> of MSK<2> could be used as a weapon to denigrate MSK<0> . "
36,249,"Parents have a right to educate their children in the faith of their choice. Without faith based education, this right is compromised.Hence, it is not true that Parents may pass their religion on to their children, but they do not have the right to let religion get in the way of or mixed up with education. They should happen as separately as possible, as faith jeopardizes the logical and critical thinking required by actual knowledge.","['Logic and critical thinking are impossible without foundational knowledge. If truth is relative, then there is no ""actual knowledge,"" but merely circular reasoning and personal preference. Faith, whether correct or incorrect, asserts foundational knowledge, and therefore serves as a starting place to employ logic and critical thinking']","MSK<0> have MSK<1> to MSK<3> MSK<0> in the MSK<2> of MSK<0> choice . Without MSK<2> based MSK<3> , MSK<1> is compromised.Hence , MSK<1> is not true that MSK<4> may pass MSK<4> MSK<5> on to MSK<4> , but MSK<4> do not have MSK<1> to let MSK<5> get in the way of or mixed up with MSK<3> . MSK<4> should happen as separately as possible , as MSK<2> jeopardizes the logical and critical thinking required by actual knowledge . "
37,1119,"Marriage was once the pillar of society. The state would be turning its back on tradition and stability by removing benefits linked to marriage.Hence, it is not true that Appeals to tradition are a type of fallacious thinking, and should not be considered in the discussion of marriage.","['An appeal to the value of maintaining a tradition, need not be a fallacy, but could be based around the principles of conservative political thought.']","MSK<0> was once the pillar of society . MSK<1> would be turning MSK<1> back on MSK<2> and stability by removing benefits linked to marriage.Hence , it is not true that Appeals to MSK<2> are a type of fallacious thinking , and should not be considered in the discussion of MSK<0> . "
38,1144,"Criminals can exercise free will while still being in need of rehabilitation.Hence, it is not true that ""Free will"" means that if a person acts in an anti-social way, that person has voluntarily chosen wrongdoing. This is not compatible with the view that their decision-making faculties are damaged and in need of repair. In the latter view, there is no free will involved, as choices are made by the deterministic program running in the brain, which is deemed defective and has to be rewritten.","['It is a non sequitur to state that ""there is no free will involved... \\in someone whose\\ decision-making faculties are damaged"".']","Criminals can exercise MSK<0> will while still being in MSK<1> of rehabilitation.Hence , it is not true that "" MSK<0> will "" means that if MSK<2> acts in an anti-social way , MSK<2> has voluntarily MSK<4> wrongdoing . This is not compatible with the MSK<3> that their decision - making faculties are damaged and in MSK<1> of repair . In the latter MSK<3> , there is no MSK<0> will involved , as MSK<4> are made by the deterministic program running in the brain , which is deemed defective and has to be rewritten . "
39,75,"Banning one type of weapon ignores the underlying causes of violence.  It doesn't help anyone to trade gun deaths for bomb deaths.Hence, it is true that Regardless of the weapon type, as long as ammunition isn't regulated mass casualties will remain.","[""Additional regulation at all is a red herring, especially in reference to reducing mass casualties.  Mass public shooting deaths per capita in Europe are equal to those in the US, despite having no second amendment, and significantly higher restrictions across the board, and that is without taking into account mass casualties from attacks that don't involve guns \\(which are a larger problem in Europe, than the US\\).""]","Banning MSK<0> ignores the underlying causes of violence . MSK<1> does n't help anyone to trade gun deaths for bomb deaths.Hence , MSK<1> is true that Regardless of MSK<0> , as long as ammunition is n't regulated mass casualties will remain . "
40,1064,"Keir Starmer's policies and beliefs make him the ideal catch-all candidate.Hence, it is not true that Keir Starmer's policies and beliefs are unpopular.","[""Extreme left parties are unsuccessful in Britain and lead to high levels of polarisation. Starmer's move towards a more center left approach(British politics is more fractured than ever before, with party loyalties in flux and the fault lines of left and right no longer holding sway \\(if they ever did\\). Any politician who still looks at the electorate in terms of left and right is not only missing opportunities to appeal to voters who support other parties, but is also potentially unaware of how up for grabs their own voters are.) is more pleasing to the many despite some alienation from far-left factions in the party.""]","MSK<0> MSK<1> make MSK<0> the ideal catch - all candidate.Hence , it is not true that MSK<0> MSK<1> are unpopular . "
41,88,"The Hippocratic Oath is the oldest oath in Western medicine, and explicitly instructs physicians to do no harm in their practices.Hence, it is not true that Those administering torture are unlikely to be trained as medical professionals, so they are unlikely to have taken the Hippocratic Oath.","['This is a circular argument. As they are not medical professionals, they are inherently unable to provide beneficial insights.']","MSK<0> is the oldest oath in Western MSK<3> , and explicitly instructs MSK<1> to do no harm in MSK<1> practices.Hence , MSK<0> is not true that MSK<0> are MSK<2> to be trained as MSK<3> professionals , so MSK<1> are MSK<2> to have taken MSK<0> . "
42,242,"Just because governments do not have the right to impose population control does not mean that they should not have this right.Hence, it is not true that Government-imposed population control methods are authoritarian in nature and contrary to the concept of individual liberty.","['Imposing methods of population control is a slippery slope, and can lead to more oppressive ways of controlling the population.']","Just because MSK<0> do not have the right to MSK<3> does not mean that MSK<0> should not have this right.Hence , it is not true that Government - MSK<3> methods are authoritarian in nature and contrary to the concept of individual liberty . "
43,751,"Polls suggest most American citizens support strict gun control legislation that is enforced fairly.Hence, it is not true that Appealing to popularity is logically problematic.",['Making the hasty generalization that gun control is wrong in order to avoid appealing to popularity is also logically problematic.'],"Polls suggest most American citizens support strict gun control legislation that is enforced fairly.Hence , it is not true that Appealing to popularity is logically problematic . "
44,784,"If adaptation is the foundation for morality, then humanity’s set of moral values and duties could have been wildly different. Thus, adaptation may be considered an inadequate foundation for morality.Hence, it is not true that That only applies to 'our' modern moral code. The morality of a different world not coinciding with what we find moral is to be expected, this however doesn't mean that it is objectively immoral. Just that we don't find it moral.","['If an individual or society asserts that their morality is correct, they imply that other moralities are incorrect for them. To make this judgement requires appeal to an external moral standard or authority by morality is being measured. Thus, they ironically reject their relativism and appeal to objective morals.']","If MSK<0> is the MSK<1> for MSK<2> , then humanity ’s set of MSK<2> MSK<2> and duties could have been wildly MSK<3> . Thus , MSK<0> may be considered an inadequate MSK<1> for MSK<2> , MSK<0> is not true that That only applies to ' our ' modern MSK<4> code . The MSK<2> of a MSK<3> world not coinciding with what MSK<5> MSK<2> MSK<2> is to be expected , MSK<6> however does n't mean that MSK<6> is objectively immoral . Just that MSK<5> do n't find MSK<6> MSK<4> . "
