,claim,labels
37,"""My opponent suggests that lowering taxes will be a good idea, this is coming from a woman to eats a pint of Ben and Jerry's each night!""",['ad hominem']
38,"I'm not surprised, frankly, that someone who gets lost in his own neighborhood would argue that New York has better pizza than Chicago.",['ad hominem']
39,Of course you don't like rap or hip-hop music! You wear the same clothes every day and have zero fashion sense.,['ad hominem']
40,"Bill, you drive a beat-up car from the 1980s. For this reason, we can never allow you to be a lifeguard at the community pool.",['ad hominem']
41,"My opponent in this election claims to have the best interests of our community at heart. However, he is separated from his family. Isn’t family the basic unit of society? How can we entrust the concerns of the community to someone who was not able to keep his family together?",['ad hominem']
42,", motive, or other attribute of the person making the argument.",['ad hominem']
43,Leonardo DiCaprio is just a dumb actor! What does he really know about climate change?!,['ad hominem']
44,“We shouldn’t even bother to interview that job applicant. He has a beard.”,['ad hominem']
45,"Billy - ""An apple is a vegetable."" Bobby - ""Don't listen to Billy; he failed Spanish class last year. """,['ad hominem']
46,A mother who tells the pediatrician that she doesn't trust his judgment because he's never been a mother.,['ad hominem']
47,"Congressman Darell Issa calls White House Spokesperson Jay Carney a ""paid liar.""",['ad hominem']
48,"BILL CLINTON: But when Joe McCarthy went around this country attacking people’s patriotism, he was wrong. He was wrong. And a senator from Connecticut stood up to him named Prescott Bush. Your father was right to stand up to Joe McCarthy, you were wrong to attack my patriotism. I was opposed to the war but I loved my country… Debate 1,
October 11, 1992
St. Louis, Missouri
What logical fallacy did Clinton’s statement employ?",['ad hominem']
49,"""I can't understand how such a low performance student is able to talk about politics"" is an example of",['ad hominem']
50,"Thanks to her enduring popularity with employees, Annie Smith is the best-liked CEO in our company's history.",['ad hominem']
51,"Before I refute my opponent's argument, I would like to draw attention to the fact that he is sweating and clearly does not have much experience on the debate team.",['ad hominem']
52,"""You haven't held a steady job since 1992. Worse than that, we couldn't find a single employer who'd provide you with a good reference.""",['ad hominem']
53,"A Congressman calls a Whitehouse Spokesperson a ""giant idiot""",['ad hominem']
54,"Don't listen to her even though she's a doctor. She isn't a good person, so her opinion is invalid.",['ad hominem']
55,"Billy - ""An apple is a vegetable.""  Bobby - ""Don't listen to Billy; he failed Spanish class last year. """,['ad hominem']
56,"Charlie: Fast food is filled with salt, fat, and added sugars. We need better regulation of the industry.
Bob: That may be, but you’re such a hypocrite! I saw you devour a Triple-Baconator, super-sized fries, and 64 ounces of soda yesterday.",['ad hominem']
57,"My opponent raises a good point, but can we really trust him? I mean he moved to this town only two years ago and everyone knows that his wife left him.",['ad hominem']
58,"That candidate wants to raise the minimum wage, but they aren't even smart enough to run a business.",['ad hominem']
59,"Mrs. Peters is nominated for teacher of the year, which is voted on by her fellow faculty members. A colleague says that she would never vote for her because she is too young.",['ad hominem']
60,"Marco cusses a lot, so you can't listen to a thing he says. He's not a good guy.",['ad hominem']
61,"Charlie: Fast food is filled with salt, fat, and added sugars. We need better regulation of the industry.

Bob: That may be, but you’re such a hypocrite! I saw you devour a Triple-Baconator, super-sized fries, and 64 ounces of soda yesterday.",['ad hominem']
62,"Charlie: Fast food is filled with salt, fat and added sugars. We need better regulation of the industry.
Bob: That may be, but you're such a hypocrite! I saw you devour a Triple-Baconator, super-sized fries and 64 ounces of soda yesterday.",['ad hominem']
63,A parent who says that the teacher doesn't know how to teach because she graduated from a community college.,['ad hominem']
64,"""You should never break traffic laws.""
""Who are you to speak? You've gotten over fifteen speeding tickets!"" What is this?",['ad hominem']
65,"Oh please, what do you know about labor laws? You don't even have a job.",['ad hominem']
66,"""Who are you to ask fast food restaurants to give us nutritional facts? I saw you eat Taco Bell last night!""",['ad hominem']
67,"My opponent in this debate wants all of you to increase taxes for a recycling program, but his own company has been fined over a dozen times for pollution and environmental damage.",['ad hominem']
68,"""I don't know how Professor Resnick can be such a hard grader.  He's always late for class. """,['ad hominem']
69,That answer you just gave cannot be right because you are always so rude.,['ad hominem']
70,She should not be voted president because she's a liar and a thief.,['ad hominem']
71,"Calling Senator Warren ""Pocahontas,"" instead of debating her ideas on cancelling student loan debt is an example of:",['ad hominem']
72,"Nobody in their right mind would trust that guy. I mean, look at him!",['ad hominem']
73,"I’m know Joe Bob’s my boss, but I’m not going to take orders from someone who can’t even dress professionally for work.",['ad hominem']
74,"person 1 : ""We should argue with logic facts""
person 2: ""You should grow a brain before you open your mouth""",['ad hominem']
75,"Person 1:
""I am for raising the minimum wage in our state.""

Person 2:
""She is for raising the minimum wage, but she is not smart enough to even run a business.""",['ad hominem']
76,"Lily says the sun is fully risen at 5:00am, but how would she know she sleeps in until noon.

(love you lily all jokes all jokes)",['ad hominem']
77,"""You're a Westener and you're an idiot.""",['ad hominem']
78,"""He wouldn't make a good president because he looks like a sad muppet.""",['ad hominem']
79,"The CEO of that company hates the environment, so I hate him and won’t buy their products.",['ad hominem']
80,"When Donald Trump called Hillary Clinton “Killary” to discredit her and her reputation as a presidential candidate, he committed which logical fallacy?",['ad hominem']
81,"President Bush argues that we should open up the Arctic National Wildlife Refuge for oil drilling. But Bush just wants to reward his rich cronies in the oil industry, so we can't take his arguments seriously.",['ad hominem']
82,I'm hardly prepared to listen to the arguments of an ignorant moron like you.,['ad hominem']
83,"Green Peace's strategies aren't effective because they are all dirty, lazy hippies.",['ad hominem']
84,There's no point listening to you. Everybody knows you're just a little do-gooder.,['ad hominem']
85,"""Andrea Dworkin has written several books arguing that the media harms women when it comes to body image. But Dworkin is an ugly, bitter person, so you shouldn't listen to her.""",['ad hominem']
86,"John says that Kentucky will beat Florida, but John sometimes lies, so I'm not sure.",['ad hominem']
87,"""You're too ugly to be class president!""",['ad hominem']
88,"""I used to have that haircut. Then my mom got a job.""",['ad hominem']
89,"""How would you know anything about technology? You're too old!""",['ad hominem']
90,Ms. Baker assigned me a lot of homework because she’s a witch!,['ad hominem']
91,Senator Ribbit is a liar. You shouldn't listen to him on anything.,['ad hominem']
92,"Says Robot 2, attacking Robot 1 instead of his arguments.",['ad hominem']
93,The reason our company never makes any money is because we have a buffoon running it!,['ad hominem']
94,"""Don't listen to Eddie's arguments on education. He didn't even finish high school"" is an example of",['ad hominem']
95,or group in order to discredit an idea with which the person or group is associated; distracts the reader from the real issue,['ad hominem']
96,"Brandon: We should have tastier lunches!
Jaylen: Don't listen to him! He's a terrible person! I saw him trip another student and steal his lunch money!",['ad hominem']
97,"""You're clearly just too young to understand what’s happening.” The statement is an example of…",['ad hominem']
98,"What type of propaganda uses negative words or feelings against an idea, product or person?",['ad hominem']
99,"""We will teach this miserable traitor(Snowball) that he cannot undo our work so easily.""",['ad hominem']
100,"When Squealer/Napoleon calls Snowball a 'traitor', and 'criminal'",['ad hominem']
101,"""I see no reason to listen to Smith. Anything he says will be influenced by his interest in civil rights. His statements are bound to be distorted and unreliable.""

What logical fallacy is used in the statement above?",['ad hominem']
102,"While debating with a friend on which movie would be better to see, you use the argument that your opinion on movies is better because your friend picks their nose, so we shouldn’t trust them because that’s gross. What fallacy have you committed?",['ad hominem']
103,politicians coin names to cast blame,['ad hominem']
104,"How can you tell me I should exercise to lose weight? All you do is sit behind a desk all day. I've never seen you do a lick of exercise.

Identify the logical fallacy commited in this argument.",['ad hominem']
105,"You didn’t even finish high school, how could you possible know about this?",['ad hominem']
106,Vote for me because the other candidate is a cheat and a liar!,['ad hominem']
107,"Charlie: Fast food is filled with salt, fat, and added sugars.  We need better regulation of the industry.
Bob: That may be, but you're sure a hypocrite!  I saw you devour a Triple-Baconator, super-sized fries, and 64 ounces of soda yesterday.",['ad hominem']
108,"David is so wrong about Luna's work ethic. David is just an egotistical jerk with a God complex, what does he know?",['ad hominem']
109,"Joseph can’t be class president, he’s poor!”",['ad hominem']
110,"A fallacy of relevance where someone rejects or criticizes another person’s view on the basis of personal characteristics, background, physical appearance, or other features irrelevant to the",['ad hominem']
111,There's no point listening to your opinion on school lunches. Everybody knows you cheat on your math tests.,['ad hominem']
112,"Braden, you drive a beat-up car from the 1980s. For this reason, we can never allow you to be a lifeguard at the community pool.",['ad hominem']
113,We can't believe what he says out of that ugly mouth of his.,['ad hominem']
114,"""I knew him in high school and he almost flunked out. He can't be a good choice for mayor.""",['ad hominem']
115,Intentionally using negatively charged words is an example of which technique?,['ad hominem']
116,"TOPIC: Should people let their cats go outside?
DEBATE: ""People should let their cats go outside. Going outside gives cats more exercise.""
""What do you know? You've never even had a pet cat before!""",['ad hominem']
117,"Jamila is running for class president. In her campaign speech she says, ""Xavier does not deserve to win. He is a smoker and He cheated on his reading quizzes last year."" What fallacy has Jamila committed?",['ad hominem']
118,"My opponent raises a good point, but can we really trust him? I mean, he moved to this town two years ago and everyone knows that his wife left him.",['ad hominem']
119,A mother says that she does not trust her pediatrician because he has never been a mother.,['ad hominem']
120,A politician arguing that his opponent cannot possibly be a good choice for women because he has been married and divorced five times.,['ad hominem']
121,"You've never visited another country, so who cares what you say about immigration reform!",['ad hominem']
122,Why would you trust Paris Hilton to sell health food? She drinks and parties and has multiple partners.,['ad hominem']
123,"J: Cats are better than dogs.
V: Dogs are better.
J: You are a lazy person. You won't even be able to take care of a dog.",['ad hominem']
124,People who don't like K-pop are racist.,['ad hominem']
125,He can't be a great athlete; he cheated on his wife.,['ad hominem']
126,"An abusive attack against someone making the argument, instead of the argument itself, is called a/an",['ad hominem']
127,"“He’s not a great athlete; he’s a fraud, a cheat and a liar. That’s why not everybody is ‘happy for Lance.'”",['ad hominem']
128,"Billy - ""An apple is a vegetable.""  
Bobby - ""Don't listen to Billy; he failed Spanish class last year. """,['ad hominem']
129,He can't be a great athlete; he didn't adopt the stray dog on the street.,['ad hominem']
130,"""I can't trust that doctor's advice on how to raise my child. He has never been a mother.""",['ad hominem']
131,"""She's such a mean teacher and person – that's why she wouldn't raise my grade ONE percent!""",['ad hominem']
132,"""Drivers in Richmond are terrible. Why does everyone in a big city drive like that?""",['ad hominem']
133,Layla is a liar! She should not be trusted to be president for student council!,['ad hominem']
134,Mr. Casal is a bad teacher because he stinks.,['ad hominem']
135,You can't be my partner in class because you didn't donate to the Hurricane Sandy fundraiser.,['ad hominem']
136,"""He just says that because he's a Republican.""",['ad hominem']
137,"This trick, which literally means ""to the guy,"" distorts a person's character subtly or blatantly, undermining their reputation regardless of how compelling their point is.",['ad hominem']
138,"I don't think we need to talk to the people in the Justice Department about the practicality of enforcing this bill. The Justice Department is full of Democrats, and they are already biased against it.",['ad hominem']
139,“against the man;” attacking the individual rather than their position.,['ad hominem']
140,The political commercials described the mayor as a “monster” who “hated babies” but they never discussed his plans for the city.,['ad hominem']
141,", rather than on his arguments or opinions.",['ad hominem']
142,"""You are clearly just too young to understand this issue!""",['ad hominem']
143,"""You are not a credible resource person. You haven't finished college.""",['ad hominem']
144,"Matt is running for class president. In his campaign speech he says, ""My opponent does not deserve to win. She is a smoker and she cheated on her boyfriend last year.""
What fallacy has Matt committed?",['ad hominem']
145,"""Andrea Starkk has written several books arguing that the media harms women when it comes to body image. But Starkk is an ugly, bitter person, so you shouldn't listen to her.""",['ad hominem']
146,The Senator must be wrong on the issue of taxes because he's such a jerk to the people who work for him.,['ad hominem']
147,No one should believe our dear lady Senator who have had an adulterous relationship.,['ad hominem']
148,The candidate for mayor was a really bad baseball player in college! Don't vote for him!,['ad hominem']
149,"After Sally presents an eloquent and compelling case for a more equitable taxation system, Sam asks the audience whether we should believe anything from a woman who isn't married, was once arrested, and smells a bit weird.",['ad hominem']
150,", rather than considering the content of what the person is saying?",['ad hominem']
151,"A father tells his son not to start smoking as he will regret it when he is older, and the son points out that his father is a smoker. This does not alter the fact that his son may regret smoking when he is older.",['ad hominem']
152,Only fools are out in public right now. Careful people are staying home.,['ad hominem']
153,"Dustin: ""Why do you always deflect the argument by insulting me?""
Ann: ""You're ugly and poor!""",['ad hominem']
154,Leonardo DiCaprio is just a dumb actor. What does he really know about climate change?,['ad hominem']
155,"My opponent raised a good point, but can we trust him? I mean he just moved to town only 5 months ago, how much could he really know?",['ad hominem']
156,"Student: Hey, Professor Moore, we shouldn't have to read this book by Freud. Everyone knows he used cocaine.",['ad hominem']
157,We cannot approve of this recycling idea. It was thought of by a bunch of hippie communist weirdos.,['ad hominem']
158,"I was assigned a personal trainer at the Rec, and he gave me a new workout program. But I don't have any confidence in his expertise, since he has obvious trouble controlling his own appetite.",['ad hominem']
159,Of course Marx' theories about the ideal society are bunk. The guy spent all his time in the library.,['ad hominem']
160,"Yeah, I think everyone's opinion counts on moral matters like that, but that Lila sleeps around with anything. I know of at least one marriage she's broken up, so why should her opinion count on anything, much less morality?",['ad hominem']
161,"My opponent suggests that lowering taxes will be a good idea -- this is coming from a woman who eats a pint of Ben and Jerry’s each night!
Mi oponente sugiere que bajar los impuestos será una buena idea, ¡esto viene de una mujer que se come una pinta de Ben y Jerry cada noche!",['ad hominem']
162,"Student: Logical Fallacies have nothing to do with my life and I don’t want to learn them!
Teacher: You are too young to understand why it’s important!
Estudiante: ¡Las falacias lógicas no tienen nada que ver con mi vida y no quiero aprenderlas!
Maestro: Eres demasiado joven para entender por qué es importanto!",['ad hominem']
163,"We cannot listen to John’s opinion on global warming because he is a tree hugger.
No podemos escuchar la opinión de John sobre el calentamiento global porque es un abrazador de árboles.",['ad hominem']
164,His opinions about sports mean nothing - he can barely tie his own shoes!,['ad hominem']
165,Look at that face! Could anyone trust that to run the country?,['ad hominem']
166,"I don't know about you, but I would never take the word of a woman who never finished school.",['ad hominem']
167,Why would you lend money to some who looks like they don't have a job?,['ad hominem']
168,"Senator Jones supports a strong national defense, and he wants your vote. I would never vote for a coward like him.",['ad hominem']
169,"Cari says that we need a major overhaul in education. Cari gets a speeding ticket every other week, so maybe she should learn how to drive instead of worrying about schools.",['ad hominem']
170,"""My opponent raises a really good point, but can we really trust him? He moved to this town three years ago and everyone knows his wife left him.",['ad hominem']
171,"Oh, please. What do you know about labor laws? You don't even have a job.",['ad hominem']
172,"""Why would you elect a mayor whose wife has been treated for alcohol addiction?""
This logical fallacy is called...",['ad hominem']
173,"""In his class president election video, he called his student opponent 'a brown-nosing, suck up who only wanted to get on the teacher's good side,' which got him disqualified"" IS an example of THIS fallacy.",['ad hominem']
174,What she says about Kepler's astronomy theory of the 1600's must be just so much garbage. Do you realize she's only fifteen years old?,['ad hominem']
175,"""In the business meeting, she proposed a new advertising plan for the dog food brand, but I found out she actually hates dogs. How can we trust her advertising skills?""",['ad hominem']
176,"""Her arguments against the protest were weak. After all, she can't be fair; she works for the government.""",['ad hominem']
177,"Robert Downey Jr. thinks everyone should vote. However, Robert Downey Jr. once went to prison for drug use. So, he's obviously wrong.",['ad hominem']
178,"When the arguer is attacked vs. the argument that is attacked, this is an example of:",['ad hominem']
179,"Don't listen to Senator Bob's opinion. He is a crook, and a spiteful loony man.",['ad hominem']
180,Of course Lou would want to go biking on field trip day - biking is the only thing he ever does! He shouldn't be allowed to choose an activity.,['ad hominem']
181,Personally attacking someone to shift attention away from your views is,['ad hominem']
182,Which fallacy is used to attack a person's character,['ad hominem']
183,What can our new math teacher know? Have you seen how fat she is?,['ad hominem']
184,Donald Trump mocked Romney for walking like a penguin. He also repeatedly called Jeb Bush low-energy.,['ad hominem']
185,The senator voted for the tax increase. It's not hard to understand why when you consider that he is a millionaire and has never had to worry about money.,['ad hominem']
186,Dr. Bloom cannot be a competent marriage counselor because he is divorced.,['ad hominem']
187,"The research and reasoning that supposedly supports (or that supposedly discredits) this intervention are a joke. The researchers are people who are not methodologically sophisticated and there have been rumors--I have no idea whether they're true or not--that they faked some of the data. The advocates (or opponents) of this intervention are the worst kind of sloppy thinkers. They are fanatical adherents who already have their minds made up; they've become true believers in their cause. They make arguments only a stupid person would accept, and mistakes in reasoning that would make an undergrad psych major blush. These are not the kind of people who deserve to be taken seriously.",['ad hominem']
188,Don't believe what Kim says about global warming. Kim dropped out of college!,['ad hominem']
189,"harmful atheists favor cloning, so cloning is wrong",['ad hominem']
190,Researchers are frauds who don’t earn their salaries,['ad hominem']
191,"Cat Stevens may be a successful and skilled musician, but let's not forget that he's been accused of extremist religious and political views.",['ad hominem']
192,"(1) William Dembski argues that modern biology supports the idea that there is an intelligent designer who created life.
(2) Dembski would say that because he’s religious.
Therefore:
(3) Modern biology doesn’t support intelligent design",['ad hominem']
193,"Bill: ""I believe that Obamacare is wrong."" Dave: ""Of course you would say that, you're a Republican."" Bill: ""What about the arguments I gave to support my position?"" Dave: ""Those don't count. Like I said, you're a Republican, so you have to support the party line. Further, you are just a lapdog to the Republican incumbent so you can get a job , so I can't believe what you say.""",['ad hominem']
194,You oppose a senator's proposal to extend government-funded health care to poor minority children because that senator is a liberal Democrat.,['ad hominem']
195,I cannot listen to anyone who does not share my social and political values.,['ad hominem']
196,"during the presidential campaign of 1800, John Adams was called 'a fool, a gross hypocrite and an unprincipled oppressor.' His rival, Thomas Jefferson, on the other hand, was deemed 'an uncivilized atheist, anti-American, a tool for the godless French.'",['ad hominem']
197,"Now you tell me she looks presidential, folks. I look presidential",['ad hominem']
198,That's what you'd expect someone like him/her to say,['ad hominem']
199,a movie reviewer who dislikes a Tom Cruise movie because of the actor's religion and tries to impose negative bias in the audience members' minds before they see the film.,['ad hominem']
200,"Tony wants us to believe that the origin of life was an “accident”.  Tony is a godless SOB who has spent more time in jail than in church, so the only information we should consider from him is the best way to make license plates.",['ad hominem']
201,"Salesman: This car gets better than average gas mileage and is one of the most reliable cars according to Consumer Reports.
Will: I doubt it—you obviously just want to sell me that car.
",['ad hominem']
202,"Of course, your minister says he believes in God.  He would be unemployed otherwise.",['ad hominem']
203,President Trump said that he was proud of the children who participated in this year's Special Olympics. Those kids are a bunch of losers.,['ad hominem']
204,The Democrats support more aggressive gun control laws. Can you believe they want to deny repeat offenders and those on the terrorist watch list their rights?,['ad hominem']
205,"Boris is not qualified to make suggestions about our penal system. As an ex-convict, he would always take the criminals’ side.",['ad hominem']
206,"She is a teacher in a public school, so any claims that she makes about the public school system are biased and untrue.",['ad hominem']
207,"My best friend says you’re a liar, so I’m not going to talk to you.",['ad hominem']
208,The Volkswagen Beetle is an evil car because it was originally designed by Hitler’s army.,['ad hominem']
209,"This is a fallacy of irrelevance that is based solely on someone's or something's history, origin, or source rather than its current meaning",['ad hominem']
210,"The newspaper editor homeschools his children. So, any claims he makes about the public school system are biased and untrue.",['ad hominem']
211,"My doctor is overweight, so I don't believe anything he tells me about improving my health.",['ad hominem']
212,"The car was built with cheap parts, so it only goes to show that the car will fall apart.",['ad hominem']
213,You can't believe Bob's idea. He's a socialist.,['ad hominem']
214,Maria drives a car. She must be wealthy.,['ad hominem']
215,"My teacher says the Earth is flat, so it definitely is flat.",['ad hominem']
216,"The noble forefathers who created this great country did not fail; it is a great country now as it was then, by their very making.",['ad hominem']
217,"Having come from the same political party, he is sure to communicate biased and untrue claims about his party-mates",['ad hominem']
218,"Hannah argues that because her friend was brainwashed as a child into thinking that people are generally good, people are not generally good.
Name that fallacy:",['ad hominem']
219,My teacher always brings up stuff about Women's Rights. She only cares about it because she is a woman. The stats she shows us are probably bias.,['ad hominem']
220,Don't buy any of the clothes made by that company. Most of them are made in China so they must be cheap.,['ad hominem']
221,"You think labor unions are good? You know who else liked labor unions? Karl Marx, that’s who.",['ad hominem']
222,"According to Freud, your belief in God stems from your need for a strong father figure. So don’t you see that it’s silly to continue believing in God?",['ad hominem']
223,"Before he died, poet Allen Ginsberg argued in favor of legalizing pornography. But Ginsberg's arguments are nothing but trash. Ginsberg was a pot-smoking homosexual and a thoroughgoing advocate of the drug culture.",['ad hominem']
224,"You’re a vegetarian? You do realize that Hitler was a vegetarian, too?",['ad hominem']
225,The Volkswagen Beetle is an evil car because it was originally designed by Hitler's army.,['ad hominem']
226,"Accused on the 6 o'clock news of corruption and taking bribes, the senator said that we should all be very wary of the things we hear in the media, because we all know how very unreliable the media can be.",['ad hominem']
227,This theory originally occurred to a scientist in the form of a dream; therefore it cannot be valid.,['ad hominem']
228,"Since it was a deathbed confession, it must be true.",['ad hominem']
229,He’s just a psychology teacher at a community college,['ad hominem']
230,"Lisa was brainwashed as a child into thinking that people are generally good.  Therefore, people are not generally good.",['ad hominem']
231,"He was born to Catholic parents and raised as a Catholic until his confirmation in 8th grade.  Therefore, he is bound to want to defend some Catholic traditions and, therefore, cannot be taken seriously.",['ad hominem']
232,"""Do not listen to Luisa, she will only tell you lies about the recent activities given in our EAPP class.""",['ad hominem']
233,"Bill: “I believe that abortion is morally wrong.”
Dave: “Of course you would say that, you’re a priest.”
Bill: “What about the arguments I gave to support my position?”
Dave: “Those don’t count. Like I said, you’re a priest, so you have to say that abortion is wrong. Further, you are just a lackey to the Pope, so I can’t believe what you say.”",['ad hominem']
234,"Tim: Boss, you heard my side of the story why I think Bill should be fired and not me.  Now, I am sure Bill is going to come to you with some pathetic attempt to weasel out of this lie that he has created.
",['ad hominem']
235,"I hope I presented my argument clearly.  Now, my opponent will attempt to refute my argument by his own fallacious, incoherent, illogical version of history.",['ad hominem']
236,"Gertrude: I am tired of having to fill out these forms all day. Can't we find a more efficient system?

Cindy-Lou: If you're not happy with the way we do things, we can find someone who is!",['ad hominem']
237,"Steve: In Sweden, college is free for citizens. How come we can't do that here?

Ed: If you like Sweden so much, move there. The USA would be glad to be rid of your liberal ass!",['ad hominem']
238,"Gertrude: I am tired of having to fill out these forms all day. Can't we find a more efficient system?
Cindy-Lou: If you're not happy with the way we do things, we can find someone who is!
",['ad hominem']
239,"Steve: In Sweden, college is free for citizens. How come we can't do that here?
Ed: If you like Sweden so much, move there. The USA would be glad to be rid of your liberal ass!
",['ad hominem']
240,"A: The Government should enact minimum-wage legislation so that workers are not exploited.
B: Nonsense. You say that only because you cannot find a good job.",['ad hominem']
241,"""That's what abortion is - killing innocent humans for money. Abortionists are government licensed hit men.""",['ad hominem']
242,"""University of Virginia professor [Charlotte] Patterson, considered a leading researcher in the field, says she has reviewed 22 studies involving offspring of gays ranging from toddlers to adults. She found none convincing [sic] that the children had suffered or were more than normally inclined to be gay. [...] Conservatives discredit Patterson by pointing out that she is an acknowledged lesbian, with a presumed ideological interest in the subject she studies.""",['ad hominem']
243,"""Who is Sam Brownbeck, and why is he saying all those terrible things about rock lyrics? On Nov. 6, Brownbeck, an ambitious Kansas Republican ... convened a hearing billed as ""An Example of Violent Music Lyrics on Youth Behavior and Well Being ..."" Brownbeck's subcommittee, which supervises schools and streets in D.C., has much more important work to do, but the senator, who will run again in 1998, is clearly searching for an issue to give him national prominence.""",['ad hominem']
244,"Jack: You should stop smoking - it's bad for you.
Jill: Look who's talking! You smoke three packs a day!",['ad hominem']
245,"Representative Gutierrez of Illinois, arguing in Congress on July 11, 1996, replying to Republicans arguing in favor of the ""Defense of Marriage Act"", a bill stipulating that 'marriage' be defined as being between a man and a woman only, excluding homosexual marriages: ""I now realize that my friends on the other side of the aisle aren't the least bit serious when they talk about how important it is for the federal government not to interfere in the lives of our people. I understand that they are just kidding - just teasing us - when they stress the importance of taking power out of Washington and giving it to local officials. And now I know that their biggest joke of all is that old line about family values - all that talk about encouraging people to care about and be committed to each other.""",['ad hominem']
246,"“Andrea Dworkin has written several books arguing that pornography harms women. But Dworkin is just ugly and bitter, so why should we listen to her?”",['ad hominem']
247,"Our colleague, Doctor Χ, is too young and inexperienced; we could do without his advice.",['ad hominem']
248,"Speaker 1: I think the idea of a moral law requires the existence of a lawgiver (i.e. God).
Speaker 2: Of course you would say that. You’re a Christian. Why should we listen to you?",['ad hominem']
249,"Speaker 1: I think marijuana should be legalized. It would be better for the country if we didn’t have this drug war.
Speaker 2: Of course you think that. You’re a pothead.",['ad hominem']
250,"Speaker 1: No fault divorce has proven to be detrimental to society and the family.
Speaker 2: You didn’t seem to think that when you got divorced.",['ad hominem']
251,"Speaker 1: We should have single payer, government funded health care. That would be the best solution to the health care crisis in our country.
Speaker 2: You voted for Bernie Sanders. You’re probably a communist.",['ad hominem']
252,"Primitive people believed in gods to explain natural phenomena. We have science, and are not primitive anymore. Therefore, there is no God.",['ad hominem']
253,"Speaker 1: Dr. Singh says meat eating is bad for the environment.
Speaker 2: He’s a Sikh. They don’t eat meat. Of course he would say that. He can’t be telling the truth.",['ad hominem']
254,Have you stopped beating your wife?,['ad hominem']
255,Why did you steal my keys?,['ad hominem']
256,Are you one of those stupid religious people that reject science?,['ad hominem']
