,text,types of fallacy
223,"This is a slippery slope fallacy.  We are discussing a specific group of men who are remembered for one thing: fighting a bloody war against the government of the United States to defend slavery.  Certainly other historical figures owned slaves, but this is not the only reason we remember them, and it is certainly not why we honor them.Hence, it is true that The slippery slope is only a valid argument if you can prove the slope is real, meaning that you can prove that the beginning action being argued for includes significant provisions or risks that will lead to continuing the process.",['faulty generalization']
399,"The Euthyphro Dilemma shows that God's will or nature cannot ground objective morality.Hence, it is not true that Euthyphro's dilemma is equally powerful against any proposed secular theory for grounding objective morality.",['tu quoque']
1070,"Concern about American democracy is appropriate under President Trump.Hence, it is not true that Due to term limits, Donald Trump cannot do irreparable damage to the democracy of the US.",['faulty generalization']
805,"Taxation is theft because for many citizens it is collected without their consent and thus violates their property rights.Hence, it is true that A debt is only valid if the debtor agrees to pay the creditor. Imagine if I left a new car in your driveway that you didn't want and didn't ask for, and then I made a legal claim that you owe me $30,000. This is effectively how taxation works. Services are rendered involuntarily, then payment is demanded. That is not a lawful transaction.",['faulty generalization']
968,"Some arguments for God’s existence imply the aseity and thus necessity of God.Hence, it is true that Alvin Plantinga’s Ontological ArgumentIt is possible that a maximally great being exists.If \(1\) then a maximally great being exists in some possible world.If \(2\) then it exists in every possible world.If \(3\) then it exists in the actual world.If \(4\) then a maximally great being exists.Therefore a maximally great being exists.",['fallacy of logic']
411,"The Nazis' ideas got out in the open where they could be combated. Then they got elected.Hence, it is not true that The Nazis’ ideas could emphatically not be openly challenged - due to some of the most extreme political censorship of free speech in history. A compelling lesson to not censor speech if ever one existed.",['equivocation']
10,"Extremist parties should be allowed.Hence, it is true that Legitimate parties are likely to be banned because it is difficult to define an 'extremist party'.",['faulty generalization']
276,"Cuomo granted legal immunity to frontline healthcare workers and the corporate officials in charge of healthcare institutions in New York.Hence, it is true that The rate of death due to COVID-19 is higher in states with corporate legal immunity.",['false causality']
482,"Hate speech seeks to not merely convey ideas or opinions, but rather to foment emotional and intolerant responses in those listening.Hence, it is not true that There are plenty of forms of speech that evoke emotional responses that individuals consume frequently.",['appeal to emotion']
622,"Many people have religious experiences involving God.Hence, it is true that The Apostles were eye witnesses to miracles, which are evidence that God exists.",['circular reasoning']
448,"Every early source attributes the gospels to Matthew, Mark, Luke, and John, which would be unexpected if the real authors were entirely different.Hence, it is true that Tertullian lists all four of Matthew, Mark, Luke, and John as gospel authors in one passage: ""We lay it down as our first position, that the evangelical Testament has apostles for its authors ... Of the apostles, therefore, John and Matthew first instil faith into us; while of apostolic men, Luke and Mark renew it afterwards."" \(Against Marcion 4.2\)",['fallacy of credibility']
623,"Many people have religious experiences involving God.Hence, it is true that There are experiential arguments for the existence of God as a universal power. Those reports come from some practitioners of Yoga, Meditation, and other spiritual practices. Even though these reports are not yet scientifically verified, the accounts are nearly identical.",['circular reasoning']
1018,"CDD is an abusive act. Therefore, it is not morally acceptable.Hence, it is not true that The belief that CDD is abuse originates in misinformation and smear campaigns directed against the CDD(Domestic Discipline as a lifestyle has come under a smear campaign filled with misinformation and fabrication. June 19th is DD Black Wednesday and the worst day in Domestic Discipline history. It is on that day that all the negativity in the media began and continues. This can easily be seen by everyone around for more then a couple years who are aware of the celebrations and difficulties this community has been through over many years. It can be proven through a retrospective of the past and what has happened since June 19th.) community since 2013.",['ad hominem']
475,"Objectivity is impossible.Hence, it is true that Objectivity per se does not exist without subjectivity.",['faulty generalization']
45,"It is possible for human intuitions, which result from human nature, to be wrong due to our cognitive biases. If our natural intuitions can be wrong, then our possession of those intuitions does not imply that an objective moral truth exists.Hence, it is true that This fact is perfectly explainable without a ""sensus moralis"": without us having the beliefs we do in virtue of some epistemic access to moral facts. The explanation is to be given in evolutionary terms. For some reason or other \(and this is a heated dispute\), it was advantageous to each and every member of the Homo genus to have specific false beliefs about morality. The beliefs thus generated could be reasonably uniform, even though they would all be false.",['ad hominem']
794,"""The Four Horsemen""(In 2007, Christopher Hitchens, Richard Dawkins, Sam Harris, and Daniel Dennett filmed a landmark discussion about modern atheism. The video went viral. Now in print for the first time, the transcript of their conversation is illuminated by new essays from three of the original participants and an introduction by Stephen Fry.\n\nAt the dawn of the new atheist movement, the thinkers who became known as “the four horsemen,” the heralds of religion’s unraveling—Christopher Hitchens, Richard Dawkins, Sam Harris, and Daniel Dennett—sat down together over cocktails.) of New Atheism successfully pushed themselves to the forefront of public debates on religion.Hence, it is not true that ""The Four Horsemen"" are unrepresentative of broader society as they are all heterosexual white men(So who are these four “new atheist” crusaders \(yes, they may deny it, but they are indeed very much the product of the white Western Christian crusader tradition\)? They are all white older men, who have never embarked on studying Islam, do not speak Arabic – the language of the Qur’an – and certainly have no special insight into any Muslim community on earth. They are, literally, illiterate.).","['faulty generalization', 'ad hominem']"
233,"Individuals credibly accused of sexual assault or harassment should be fired from positions of authority.Hence, it is not true that Automatically firing people accused of sexual assault or harassment would cause increased detriment to victims of a false rape accusation.",['fallacy of credibility']
629,"Revelation through faithful practices, religious experiences, and testimony support the existence of God.Hence, it is not true that In most instances, followers are born into their religion. Their parents expose them to faithful practices and religious experiences early on. This is similar to indoctrination practices, which provide false sense of belonging and a distaste for divergent thought.",['ad hominem']
555,"Despite attempts to normalize men wearing dresses/skirts, men who do so are still likely to be perceived negatively by others.Hence, it is true that Men who dress traditionally are more confident and respected.",['circular reasoning']
821,"The reception of The Last Jedi suggests that, although the movie is controversial, many fans and critics liked it.Hence, it is not true that Critical acclaim doesn't necessarily mean a movie is strong, and critics writing glowing reviews does nothing to resolve poor writing, acting, and character development.",['fallacy of credibility']
1017,"Confessing to a one night stand is morally the right thing to do.Hence, it is true that Most people regard revealing it as the right thing to do.",['ad populum']
53,"The position that moral statements are just expressions of emotions is inconsistent with how we commonly view moral statements.Hence, it is true that When we say something like ""murder is wrong"", we don't view ourselves as saying something comparable to ""chocolate tastes bad"". The latter is a representation of our subjective attitudes, but the former is not.",['circular reasoning']
51,"In any field where objective truths exist - for example, in science - both the general population and experts have experienced a gradual convergence in opinion towards the truth. The same is not true for morality.Hence, it is true that Even the people who should be experts about morality - professional philosophers - disagree widely about morality, with no more than 30% of professional philosophers supporting any particular moral theory.",['ad populum']
342,"Democracies should not use referendums for policy decisions.Hence, it is not true that Decisions taken via referendums tend to be perceived as more legitimate and find more acceptance in the population than decisions derived in other ways.",['ad populum']
132,"The meaning of life is to find meaning in life. Finding purpose to life beyond merely existing has to be the key.Hence, it is true that If Nihilism is true and if there is no objective meaning to life, you subjectively define your own values and your meaning will be to live for those values.",['fallacy of logic']
798,"The 'Leave' campaign has been subject to heavy criticism of their dealings in the lead-up to the election.Hence, it is true that Claims of the Leave campaign, most infamously the 350m/week claim, have been found to be factually inaccurate.",['fallacy of relevance']
1034,"The few examples of church opposition to scientific progress pale in comparison to its contribution to knowledge. For example, Galileo was not killed or even imprisoned, just put under temporary house arrest and allowed to continue his work.Hence, it is not true that The Catholic church used the Inquisition to prosecute anyone who espoused  views deemed as heretic \(for example, some scientific ideas\) convicting people to different sentences, including death by burning.",['fallacy of credibility']
521,"Gillette's toxic masculinity ad is good for people.Hence, it is not true that The ad comes across as patronizing, especially coming from a large company. People, particularly men in this case, are unlikely to respond positively to such patronization nor is it good for them.",['fallacy of credibility']
591,"The Book of Mormon provides reasonable evidence of the existence of God.Hence, it is not true that The Book of Mormon provides claims of the existence of a god. The claims themselves cannot be the evidence as that is circular reasoning.",['circular reasoning']
891,"Governments that operate under a separation of church and state aren't positioned to claim authority to tax churches, regardless of whether churches do social good.Hence, it is not true that If separation of church and state means that governments can't claim authority to tax churches, then it also means governments can't claim authority to impose any laws at all on churches. If churches are subject to the law, they can also be subject to taxation.",['circular reasoning']
298,"The idea that the gap in men and women's performances should be closed is inherently problematic. It reinforces the notion that men are the ideal that women should strive to achieve instead of appreciating the sport and allowing it to develop to the strengths of each sex.Hence, it is true that Much of the sports currently being played were made for men specifically, which means that the natural strengths of men are disproportionately catered to within sports today. Continuing to focus on men as the ideal makes it less likely that sports will be adapted to accommodate women and their strengths.",['fallacy of logic']
195,"Anselm's First Ontological Argument proves God.Hence, it is true that \#6\ ""Therefore, God exists.""",['fallacy of logic']
361,"Restricting or mandating speech can be negative overall.Hence, it is true that Although mandatory pronouns are a minor infringement of human rights, the policy may open the door to far more severe infringements.",['faulty generalization']
861,"The prevalence of adblockers will eventually undermine the ability of internet services to remain free.Hence, it is not true that There is no such thing as a free internet service. Even if content is free to view, there is a hidden cost to the viewer.",['circular reasoning']
729,"In a market society, the market determined salary of a job functions as a signal, measuring the importance of that job. Government interference leads to a distortion of these signals, and therefore an inefficient distribution of resources.Hence, it is true that Government interference with the free market system can easily open the door to further restrictions and control of companies in production, pricing, and ability to compete.",['faulty generalization']
171,"Taiwan fulfills most popular and academic definitions of statehood.Hence, it is true that According to some scholars, nations are justified by the consent of their people to be governed and their effectiveness in ruling and satisfying people's basic needs. Taiwan fulfills both of these criteria.",['fallacy of credibility']
872,"Humanities have less value than natural sciences.Hence, it is true that Humanities have been used to build dark ideologies and conduct man-made disasters, resulting in disastrous consequences.",['circular reasoning']
983,"P3. The universe is all of space-time reality and includes all matter and energy. Thus, if the universe has a cause of its existence, that cause must be non-physical and immaterial because it transcends space and time. There are only two kinds of things we know of that could fall under such a description: either abstract objects \(like a number\) or else a mind \(a soul, a self\). Abstract objects that we know of don’t stand in causal relations. Therefore, a mind is a better explanation.Hence, it is not true that If the mind can exist as a pure abstraction, there is no reason given to group it separately from abstract objects, like numbers.",['fallacy of extension']
491,"Science is akin to religion.Hence, it is true that Religion and science both mispredict.",['faulty generalization']
68,"Women face a lot of societal pressures, especially when dating.Hence, it is not true that Men face societal pressure to be strong and not show any vulnerability(Since childhood, many men are taught vulnerability equals weakness and therefore men are not supposed to be vulnerable. It can also be difficult to be vulnerable as there might be a fear of feeling embarrassed or being hurt by someone’s response.) - in the case of dating this can make emotional openness much harder for them.",['appeal to emotion']
706,"Indirectly, the preponderance of those arguably best equipped to answer the question of whether a God exists, do not believe a God exists.Hence, it is not true that Since god is considered absolutely metaphysical by definition, that is something non-material so non-perceivable and only in our minds, there is no kind of person or knowledge that is ""best equipped"" to dis/prove god's existence in the world.","['fallacy of logic', 'fallacy of relevance']"
304,"ConfucianismHence, it is true that Confucianism can help order society by providing a moral code that exists outside of bloodlines and direct kinship.",['fallacy of credibility']
511,"It is morally wrong for people to lie.Hence, it is not true that Lying is natural.",['fallacy of credibility']
495,"Although scientists try to mitigate the risk of procedural error, procedural error is a possibility despite the most stringent of verifiability standards. The possibility of undetected error always exists, and scientists will apply the assumptions despite thorough checking.Hence, it is not true that This is a false dilemma. It argues; if something is possible it must be treated as/assumed to exist. Implying the inverse; if something is not possible, then it can be assumed not to exist. This is a problematic oversimplification ignoring probability. Something may be possible, but so unlikely that it is reasonable to treat it \(assume\) as though it will not occur. It would be impractical/unreasonable to assume it will occur except under exceptional circumstances.",['fallacy of extension']
147,"Mathematics should be taught based on tau instead of pi.Hence, it is not true that Pi is already the status quo and is working adequately.",['fallacy of logic']
712,"Examples of things that God cannot do are logically nonsensical and meaningless \(e.g. make a square circle\).Hence, it is not true that If a square circle is illogical and meaningless, then so is God. as his very nature \(outside space & time\) is also logically nonsensical and meaningless.",['fallacy of logic']
558,"Everyone should have the right to make their own decisions in regards to their health.Hence, it is true that Banning cigarettes sets a dangerous precedent for banning any product deemed harmful to health. Most processed foods have unhealthy amounts of salts, sugars and fat.",['faulty generalization']
697,"Agnosticism holds that the lack of evidence makes it impossible to know whether God exists.Hence, it is true that An all knowing, all seeing God would speak \(or act\) to make his presence known, and most major religions report that God makes his will clearly known by communicating to humans. Yet, no such communication exists today.",['circular reasoning']
767,"PC culture stifles the ""marketplace of ideas"", wherein all ideas are welcome in public discourse, but the bad ones are weeded out, and only the best, most beneficial ideas become broadly accepted.Hence, it is true that PC culture on some campuses in the US and UK have a tendency to censor, rather than addressing views they disagree with. The ""truths"" of progressive viewpoints are seen as unquestionably true and license to demonize anyone who doesn't conform.",['faulty generalization']
504,"The media needs to have material to fuel the 24 hour news cycle and this story is dramatic and interesting, so it sells.Hence, it is true that In 2017, a year dominated by Trump-Russia coverage, both CNN and MSNBC improved on their record viewership numbers generated by the 2016 election. They have every incentive to portray Trump's alleged Russia connections in the most dramatic light.",['fallacy of relevance']
643,"The Unmoved Mover is not proved by reference to a chronological beginning of the world, but rather a hierarchical ""beginning"" of the world, which is here and now, at every moment of time in action.Hence, it is true that Per se causal chains cannot regress to infinity, as opposed to per accidens causal chains.",['circular reasoning']
197,"\#3\ ""If God exists in some possible worlds, then God exists in all possible worlds.""Hence, it is true that God, as a necessary being, would have to exist in all possible worlds if he exists in some. Otherwise, he would be merely contingent.",['circular reasoning']
372,"Believing in ghosts to be real harms society because it makes people vulnerable to scams and hoaxes. In many instances, belief in ghosts is used for financial exploitation.Hence, it is true that Belief in ghosts is often an extreme version of a complex known as ""magical thinking"" in which people make irrational correlations between events.",['false causality']
138,"The intended role of the government is protection, not social intervention.Hence, it is true that ""The only maxim of a free government ought to be to trust no man living with the power to endanger the public liberty"" John Adams. So government wasn't intended by the founding fathers to control the citizen nor the public but to control powers that threaten them. In theory, it would mean government only needs enough power to perform that basic task, and the more limited societal powers are the more limited government powers could be.",['fallacy of credibility']
1141,"Private schools allow wealthier people and their children to segregate themselves from the general population.Hence, it is not true that If parents who can afford to choose what school their child goes to perceive the general population as abusive, unintelligible, or immoral they then have a personal obligation to protect their children from the influence of the population.",['circular reasoning']
886,"School uniforms are fair as they make everyone look and feel equal.Hence, it is not true that Some school uniforms are designed to be used all over country and not in one particular school, for instance, in Thailand. This means that there are various price that relates to clothes' quality. However, even if the poor could afford just low quality one, it is even more expensive than simple shirt and pants. So, school uniforms don't make any poor one feel equal to rich.",['intentional']
1183,"The current disenfranchisement practices in the Unites States have their origins in the efforts of southern lawmakers to disempower the black electorate.Hence, it is not true that Even if the roots of felony disenfranchisement are racist, it does not follow from this that the current practice of felony disenfranchisement is also racist.",['ad hominem']
300,"BDSM practitioners often form strong emotional attachments with their partners \(p. 3(Members of the BDSM community are less likely to be monogamous than their “vanilla” neighbors \(Richters et. al, 2008\), and successful BDSM interactions are highly intimate and intense, both emotionally and physically.)\). This may make it difficult for them to extricate themselves from abusive situations.Hence, it is true that The bonds formed in BDSM may attract sex offenders \(p. 14(Paraphilic disorders are commonly seen in sex offenders \(Dunsieth et al., 2004\), and paraphilic sex offenders have a greater likelihood of reoffending \(Hanson & Morton Bourgon, 2004\). One study found behavioral indicators of sexual sadism, such as physical arousal in response to violent imagery, predicted sexual and violent recidivism, whereas DSM-IV diagnosis of Sexual Sadism did not emerge as a strong predictor \(Kingston, Seto, Firestone, & Bradford, 2010\). Behavioral indicators of sexual sadism may thus be a more reliable estimator in considering risk to reoffend. Due to its association with sexual and violent recidivism, sexual sadism represents an important construct for evaluators to assess in sexual offenders. If an evaluator were to discover that a sexually offending client has engaged in BDSM, it would be prudent to assess for Sexual Sadism Disorder in estimating the client’s risk to reoffend.)\) and create self-perpetuating cycles of harm as victims struggle to leave their abusers after forming emotional attachments to them \(p. 5(Without resorting to an understanding of the attachment to the abuser, it is difficult to explain the tenacity with which the survivor clings to an idealized image of the abuser, a degraded image of the self, or to the series of abusive relationships that ensue in the survivor's life.)\).",['appeal to emotion']
954,"The inductive argument for induction working in the real world, is that there are many examples that induction works in the real world \(and not using induction doesn't work\), and by induction we can generalize the principle that in the real world, we have to use inductive reasoning. Thus, an inductive argument for using inductive arguments in the real world exists proving the parent claim false by counterexample.Hence, it is not true that The grandparent asserts that we HAVE to use inductive reasoning. This denies all deductive reasoning and a priori truth. There is no inductive argument that would lead to the conclusion we HAVE to use inductive reasoning. Indeed, the reliability of inductive reasoning itself is established on a priori truths.",['circular reasoning']
